Time [s],Channel 0,Channel 1
2024-02-05T10:59:16.400280000+00:00,0,0
2024-02-05T10:59:16.621366600+00:00,1,0
2024-02-05T10:59:16.621416610+00:00,0,0
2024-02-05T10:59:16.632449690+00:00,0,1
2024-02-05T10:59:16.632450920+00:00,0,0
2024-02-05T10:59:16.871365620+00:00,1,0
2024-02-05T10:59:16.871415630+00:00,0,0
2024-02-05T10:59:16.882453700+00:00,0,1
2024-02-05T10:59:16.882454940+00:00,0,0
2024-02-05T10:59:17.121364640+00:00,1,0
2024-02-05T10:59:17.121414650+00:00,0,0
2024-02-05T10:59:17.132455550+00:00,0,1
2024-02-05T10:59:17.132456790+00:00,0,0
2024-02-05T10:59:17.371363660+00:00,1,0
2024-02-05T10:59:17.371413670+00:00,0,0
2024-02-05T10:59:17.382459530+00:00,0,1
2024-02-05T10:59:17.382460770+00:00,0,0
2024-02-05T10:59:17.621362680+00:00,1,0
2024-02-05T10:59:17.621412690+00:00,0,0
2024-02-05T10:59:17.632461080+00:00,0,1
2024-02-05T10:59:17.632462310+00:00,0,0
2024-02-05T10:59:17.871361700+00:00,1,0
2024-02-05T10:59:17.871411710+00:00,0,0
2024-02-05T10:59:17.882467040+00:00,0,1
2024-02-05T10:59:17.882468280+00:00,0,0
2024-02-05T10:59:18.121360720+00:00,1,0
2024-02-05T10:59:18.121410730+00:00,0,0
2024-02-05T10:59:18.132469590+00:00,0,1
2024-02-05T10:59:18.132470830+00:00,0,0
2024-02-05T10:59:18.371359740+00:00,1,0
2024-02-05T10:59:18.371409750+00:00,0,0
2024-02-05T10:59:18.382472580+00:00,0,1
2024-02-05T10:59:18.382473810+00:00,0,0
2024-02-05T10:59:18.621358760+00:00,1,0
2024-02-05T10:59:18.621408770+00:00,0,0
2024-02-05T10:59:18.632476980+00:00,0,1
2024-02-05T10:59:18.632478220+00:00,0,0
2024-02-05T10:59:18.871357780+00:00,1,0
2024-02-05T10:59:18.871407790+00:00,0,0
2024-02-05T10:59:18.882479520+00:00,0,1
2024-02-05T10:59:18.882480760+00:00,0,0
2024-02-05T10:59:19.121356800+00:00,1,0
2024-02-05T10:59:19.121406810+00:00,0,0
2024-02-05T10:59:19.132483700+00:00,0,1
2024-02-05T10:59:19.132484930+00:00,0,0
2024-02-05T10:59:19.371355820+00:00,1,0
2024-02-05T10:59:19.371405830+00:00,0,0
2024-02-05T10:59:19.382486650+00:00,0,1
2024-02-05T10:59:19.382487880+00:00,0,0
2024-02-05T10:59:19.621354840+00:00,1,0
2024-02-05T10:59:19.621404850+00:00,0,0
2024-02-05T10:59:19.632489060+00:00,0,1
2024-02-05T10:59:19.632490300+00:00,0,0
2024-02-05T10:59:19.871353860+00:00,1,0
2024-02-05T10:59:19.871403870+00:00,0,0
2024-02-05T10:59:19.882492840+00:00,0,1
2024-02-05T10:59:19.882494070+00:00,0,0
2024-02-05T10:59:20.121352880+00:00,1,0
2024-02-05T10:59:20.121402890+00:00,0,0
2024-02-05T10:59:20.132496500+00:00,0,1
2024-02-05T10:59:20.132497730+00:00,0,0
2024-02-05T10:59:20.371351900+00:00,1,0
2024-02-05T10:59:20.371401910+00:00,0,0
2024-02-05T10:59:20.382500620+00:00,0,1
2024-02-05T10:59:20.382501850+00:00,0,0
2024-02-05T10:59:20.621350920+00:00,1,0
2024-02-05T10:59:20.621400930+00:00,0,0
2024-02-05T10:59:20.632505100+00:00,0,1
2024-02-05T10:59:20.632506330+00:00,0,0
2024-02-05T10:59:20.871349940+00:00,1,0
2024-02-05T10:59:20.871399950+00:00,0,0
2024-02-05T10:59:20.882507940+00:00,0,1
2024-02-05T10:59:20.882509180+00:00,0,0
2024-02-05T10:59:21.121348960+00:00,1,0
2024-02-05T10:59:21.121398970+00:00,0,0
2024-02-05T10:59:21.132510380+00:00,0,1
2024-02-05T10:59:21.132511620+00:00,0,0
2024-02-05T10:59:21.371347980+00:00,1,0
2024-02-05T10:59:21.371397990+00:00,0,0
2024-02-05T10:59:21.382513820+00:00,0,1
2024-02-05T10:59:21.382515060+00:00,0,0
2024-02-05T10:59:21.621347000+00:00,1,0
2024-02-05T10:59:21.621397010+00:00,0,0
2024-02-05T10:59:21.632518540+00:00,0,1
2024-02-05T10:59:21.632519780+00:00,0,0
2024-02-05T10:59:21.871346020+00:00,1,0
2024-02-05T10:59:21.871396030+00:00,0,0
2024-02-05T10:59:21.882522560+00:00,0,1
2024-02-05T10:59:21.882523790+00:00,0,0
2024-02-05T10:59:22.121345040+00:00,1,0
2024-02-05T10:59:22.121395050+00:00,0,0
2024-02-05T10:59:22.132524200+00:00,0,1
2024-02-05T10:59:22.132525430+00:00,0,0
2024-02-05T10:59:22.371344060+00:00,1,0
2024-02-05T10:59:22.371394070+00:00,0,0
2024-02-05T10:59:22.382527620+00:00,0,1
2024-02-05T10:59:22.382528860+00:00,0,0
2024-02-05T10:59:22.621343080+00:00,1,0
2024-02-05T10:59:22.621393090+00:00,0,0
2024-02-05T10:59:22.632531190+00:00,0,1
2024-02-05T10:59:22.632532420+00:00,0,0
2024-02-05T10:59:22.871342100+00:00,1,0
2024-02-05T10:59:22.871392110+00:00,0,0
2024-02-05T10:59:22.882536550+00:00,0,1
2024-02-05T10:59:22.882537790+00:00,0,0
2024-02-05T10:59:23.121341120+00:00,1,0
2024-02-05T10:59:23.121391130+00:00,0,0
2024-02-05T10:59:23.132539290+00:00,0,1
2024-02-05T10:59:23.132540520+00:00,0,0
2024-02-05T10:59:23.371340140+00:00,1,0
2024-02-05T10:59:23.371390140+00:00,0,0
2024-02-05T10:59:23.382543240+00:00,0,1
2024-02-05T10:59:23.382544480+00:00,0,0
2024-02-05T10:59:23.621339150+00:00,1,0
2024-02-05T10:59:23.621389160+00:00,0,0
2024-02-05T10:59:23.632544370+00:00,0,1
2024-02-05T10:59:23.632545610+00:00,0,0
2024-02-05T10:59:23.871338170+00:00,1,0
2024-02-05T10:59:23.871388180+00:00,0,0
2024-02-05T10:59:23.882548760+00:00,0,1
2024-02-05T10:59:23.882550000+00:00,0,0
2024-02-05T10:59:24.121337190+00:00,1,0
2024-02-05T10:59:24.121387200+00:00,0,0
2024-02-05T10:59:24.132551610+00:00,0,1
2024-02-05T10:59:24.132552840+00:00,0,0
2024-02-05T10:59:24.371336210+00:00,1,0
2024-02-05T10:59:24.371386220+00:00,0,0
2024-02-05T10:59:24.382554660+00:00,0,1
2024-02-05T10:59:24.382555900+00:00,0,0
2024-02-05T10:59:24.621335230+00:00,1,0
2024-02-05T10:59:24.621385240+00:00,0,0
2024-02-05T10:59:24.632559240+00:00,0,1
2024-02-05T10:59:24.632560480+00:00,0,0
2024-02-05T10:59:24.871334250+00:00,1,0
2024-02-05T10:59:24.871384260+00:00,0,0
2024-02-05T10:59:24.882562140+00:00,0,1
2024-02-05T10:59:24.882563370+00:00,0,0
2024-02-05T10:59:25.121333270+00:00,1,0
2024-02-05T10:59:25.121383280+00:00,0,0
2024-02-05T10:59:25.132565300+00:00,0,1
2024-02-05T10:59:25.132566540+00:00,0,0
2024-02-05T10:59:25.371332290+00:00,1,0
2024-02-05T10:59:25.371382300+00:00,0,0
2024-02-05T10:59:25.382571670+00:00,0,1
2024-02-05T10:59:25.382572910+00:00,0,0
2024-02-05T10:59:25.621331310+00:00,1,0
2024-02-05T10:59:25.621381320+00:00,0,0
2024-02-05T10:59:25.632572390+00:00,0,1
2024-02-05T10:59:25.632573620+00:00,0,0
2024-02-05T10:59:25.871330330+00:00,1,0
2024-02-05T10:59:25.871380340+00:00,0,0
2024-02-05T10:59:25.882576400+00:00,0,1
2024-02-05T10:59:25.882577630+00:00,0,0
2024-02-05T10:59:26.121329340+00:00,1,0
2024-02-05T10:59:26.121379350+00:00,0,0
2024-02-05T10:59:26.132578720+00:00,0,1
2024-02-05T10:59:26.132579950+00:00,0,0
2024-02-05T10:59:26.371328360+00:00,1,0
2024-02-05T10:59:26.371378370+00:00,0,0
2024-02-05T10:59:26.382584560+00:00,0,1
2024-02-05T10:59:26.382585790+00:00,0,0
2024-02-05T10:59:26.621327380+00:00,1,0
2024-02-05T10:59:26.621377390+00:00,0,0
2024-02-05T10:59:26.632587940+00:00,0,1
2024-02-05T10:59:26.632589180+00:00,0,0
2024-02-05T10:59:26.871326400+00:00,1,0
2024-02-05T10:59:26.871376410+00:00,0,0
2024-02-05T10:59:26.882592450+00:00,0,1
2024-02-05T10:59:26.882593690+00:00,0,0
2024-02-05T10:59:27.121325420+00:00,1,0
2024-02-05T10:59:27.121375430+00:00,0,0
2024-02-05T10:59:27.132594390+00:00,0,1
2024-02-05T10:59:27.132595620+00:00,0,0
2024-02-05T10:59:27.371324430+00:00,1,0
2024-02-05T10:59:27.371374440+00:00,0,0
2024-02-05T10:59:27.382596110+00:00,0,1
2024-02-05T10:59:27.382597350+00:00,0,0
2024-02-05T10:59:27.621323450+00:00,1,0
2024-02-05T10:59:27.621373460+00:00,0,0
2024-02-05T10:59:27.632601380+00:00,0,1
2024-02-05T10:59:27.632602620+00:00,0,0
2024-02-05T10:59:27.871322470+00:00,1,0
2024-02-05T10:59:27.871372480+00:00,0,0
2024-02-05T10:59:27.882606020+00:00,0,1
2024-02-05T10:59:27.882607250+00:00,0,0
2024-02-05T10:59:28.121321490+00:00,1,0
2024-02-05T10:59:28.121371500+00:00,0,0
2024-02-05T10:59:28.132608310+00:00,0,1
2024-02-05T10:59:28.132609550+00:00,0,0
2024-02-05T10:59:28.371320500+00:00,1,0
2024-02-05T10:59:28.371370510+00:00,0,0
2024-02-05T10:59:28.382610620+00:00,0,1
2024-02-05T10:59:28.382611860+00:00,0,0
2024-02-05T10:59:28.621319520+00:00,1,0
2024-02-05T10:59:28.621369530+00:00,0,0
2024-02-05T10:59:28.632615790+00:00,0,1
2024-02-05T10:59:28.632617030+00:00,0,0
2024-02-05T10:59:28.871318540+00:00,1,0
2024-02-05T10:59:28.871368550+00:00,0,0
2024-02-05T10:59:28.882617590+00:00,0,1
2024-02-05T10:59:28.882618830+00:00,0,0
2024-02-05T10:59:29.121317560+00:00,1,0
2024-02-05T10:59:29.121367570+00:00,0,0
2024-02-05T10:59:29.132622620+00:00,0,1
2024-02-05T10:59:29.132623860+00:00,0,0
2024-02-05T10:59:29.371316570+00:00,1,0
2024-02-05T10:59:29.371366580+00:00,0,0
2024-02-05T10:59:29.382624680+00:00,0,1
2024-02-05T10:59:29.382625920+00:00,0,0
2024-02-05T10:59:29.621315590+00:00,1,0
2024-02-05T10:59:29.621365600+00:00,0,0
2024-02-05T10:59:29.632628150+00:00,0,1
2024-02-05T10:59:29.632629380+00:00,0,0
2024-02-05T10:59:29.871314610+00:00,1,0
2024-02-05T10:59:29.871364620+00:00,0,0
2024-02-05T10:59:29.882632140+00:00,0,1
2024-02-05T10:59:29.882633380+00:00,0,0
2024-02-05T10:59:30.121313630+00:00,1,0
2024-02-05T10:59:30.121363640+00:00,0,0
2024-02-05T10:59:30.132636810+00:00,0,1
2024-02-05T10:59:30.132638050+00:00,0,0
2024-02-05T10:59:30.371312640+00:00,1,0
2024-02-05T10:59:30.371362650+00:00,0,0
2024-02-05T10:59:30.382639130+00:00,0,1
2024-02-05T10:59:30.382640360+00:00,0,0
2024-02-05T10:59:30.621311660+00:00,1,0
2024-02-05T10:59:30.621361670+00:00,0,0
2024-02-05T10:59:30.632642850+00:00,0,1
2024-02-05T10:59:30.632644080+00:00,0,0
2024-02-05T10:59:30.871310680+00:00,1,0
2024-02-05T10:59:30.871360690+00:00,0,0
2024-02-05T10:59:30.882645480+00:00,0,1
2024-02-05T10:59:30.882646720+00:00,0,0
2024-02-05T10:59:31.121309700+00:00,1,0
2024-02-05T10:59:31.121359700+00:00,0,0
2024-02-05T10:59:31.132648940+00:00,0,1
