CLIENT WRITE,SERVER NOTIFY
11.87912,4.38396
11.88108,43.3629
11.88462,32.39228
11.88862,21.39454
11.89184,10.3985
11.8957,49.37788
11.89866,38.40756
11.90252,27.40978
11.90546,16.4138
11.90914,5.41638
11.9133,44.39516
11.91636,33.4241
11.91918,22.42788
11.92268,11.43078
11.92606,50.41078
11.93086,39.43906
11.93354,28.44186
11.93728,18.12376
11.93982,8.35116
11.94382,48.13356
11.94698,38.13518
11.95072,28.13842
11.95436,18.95966
11.95734,9.9637
11.96054,50.94336
11.9657,41.97224
11.96824,32.97418
11.9716,23.97836
11.97428,15.38564
11.97794,7.38868
11.98224,49.36822
11.77644,41.39714
10.7803,33.39974
9.78326,25.73336
8.78642,18.73612
7.791,11.73942
6.79288,4.74366
5.79752,47.72238
4.79986,40.75096
3.80408,34.29498
2.8083,28.2973
1.81024,22.30092
50.82966,16.3053
49.81874,10.3073
48.82148,4.3115
47.82576,49.27266
46.82874,44.30174
45.83194,39.30516
44.83508,34.30904
43.83902,29.31102
42.84226,24.31626
41.84644,19.58122
40.84944,15.58568
39.85336,11.5902
38.8559,7.59236
37.85988,3.5963
36.86332,49.5749
35.86614,45.60324
34.71514,41.60766
32.71846,37.61098
30.7211,33.61418
28.72568,29.61788
26.72798,25.62066
24.73226,22.1379
22.73566,19.14344
20.73974,16.14528
18.74278,13.14866
16.74542,10.1523
14.74992,7.15566
12.75292,4.1599
10.7564,51.1385
8.76072,48.16626
6.76308,45.17136
4.76694,42.17254
2.6432,39.17716
49.65544,36.62398
46.65076,34.6259
43.6552,32.62966
40.65772,30.63232
37.66128,28.63576
34.66454,26.64014
31.66846,24.6433
28.67206,22.64712
25.6752,20.65022
22.67892,19.32938
19.68174,18.333
16.10532,17.33586
12.10926,16.33934
8.11224,15.34214
4.11544,14.34596
50.1289,13.34974
46.1231,12.35342
42.127,12.28946
38.13088,12.29206
34.13346,12.29654
30.1372,12.30108
26.13964,12.30324
22.14408,12.30782
18.14808,12.30962
13.28172,11.63014
8.28436,10.63402
3.2874,9.63598
48.29302,8.63978
43.29502,7.64262
38.29942,6.64726
33.30198,4.7473
28.30568,2.74984
23.30934,50.72898
18.31312,48.75766
13.31676,46.75972
8.31952,44.7645
3.0184,42.7678
47.0252,40.77072
41.0262,38.77616
35.03018,36.7777
29.03346,34.78218
23.03638,32.78496
17.04002,30.78866
11.04344,28.34864
5.0468,25.35206
49.05422,22.35574
43.0545,19.3596
37.05748,16.36186
31.06158,13.36544
24.0667,10.3693
16.0707,7.15482
8.07474,3.15872
50.0958,49.1364
42.0816,45.16526
34.08544,41.16984
26.08826,37.17238
18.0921,33.175
10.09584,29.18016
2.09942,25.18284
44.10938,20.99986
36.81036,16.0027
29.81328,11.00666
22.81734,6.01094
15.82122,50.98922
8.82352,46.01644
1.82744,41.0219
44.8563,36.02438
37.83522,31.02804
30.83956,25.22176
23.12606,19.22488
15.1292,13.2292
7.08196,7.2324
48.0897,51.20966
39.0894,45.24014
30.09274,39.24278
21.0963,33.24652
12.0999,26.6893
3.10334,19.69242
44.11224,12.69598
35.11036,5.70066
26.11402,48.67958
17.11782,41.70694
8.12052,34.71052
49.12626,27.7137
40.12936,20.71762
31.13176,13.7212
22.13578,6.53332
13.13916,48.51244
3.35292,40.54124
43.35824,32.54406
33.3609,24.54798
23.36426,16.55104
13.36738,8.55356
3.37174,50.53328
43.39654,42.1113
33.37838,33.11402
23.38196,24.11808
13.38544,15.1215
3.38924,6.12502
43.41138,47.10448
33.3969,37.67712
22.64406,27.67942
11.64716,17.68302
50.65296,7.68736
39.65442,47.66556
28.658,37.69386
17.6623,27.69824
6.66472,17.70046
45.68482,7.42252
34.6728,46.40112
23.67642,35.43032
12.6793,24.43366
1.68442,13.43658
40.7002,2.44002
29.15848,41.41796
17.1622,30.44692
5.16586,19.45226
43.18752,8.4545
31.17374,47.43378
19.17736,35.94668
7.1806,23.94886
45.18518,11.95368
33.1888,49.93124
21.1915,37.96106
9.19576,25.96346
47.21178,13.96904
35.1595,1.97092
22.16158,39.9502
9.1661,27.9788
46.1867,15.08494
33.1738,2.0887
20.17726,39.06824
7.1816,26.09678
44.1897,13.0991
31.18786,50.07868
18.19228,37.10774
5.1946,24.11152
42.21062,11.11406
29.20284,47.68568
15.50782,33.7148
51.51936,19.71696
37.51446,5.72076
23.51914,41.7006
9.52234,27.7295
45.54412,13.73274
31.5298,49.71184
17.53392,35.74084
3.53598,21.7423
39.54164,6.95128
25.54424,41.93106
11.54686,26.95936
47.57598,11.96304
33.55532,46.94212
19.55962,31.97078
5.56254,16.9729
41.57,1.97734
27.57022,36.9561
13.57396,21.98606
49.58234,6.09306
35.5813,40.07322
21.58566,24.1018
7.58872,8.10548
43.60292,42.08456
29.5964,26.11294
15.14364,10.11702
50.15536,43.65522
35.15144,26.68206
20.15518,9.68616
5.15826,42.66502
40.17946,25.69342
25.16608,8.69692
10.16946,41.67574
45.1877,24.70362
30.17742,7.70782
15.1818,40.68726
50.19508,23.71624
35.04584,6.6576
19.0498,38.637
3.05266,20.66526
37.07714,2.6687
21.06106,34.64756
5.06506,16.67582
39.08536,48.65514
23.07234,30.68426
7.07604,12.68722
41.09338,44.66622
25.08306,26.69528
9.08642,8.69888
42.88436,40.6772
25.87796,22.1942
8.8804,3.19798
41.89198,34.1771
24.88866,15.20474
7.89118,46.18506
40.89972,27.21366
23.69156,8.21742
5.6963,39.19738
37.70446,20.22432
19.7037,51.20438
1.70682,31.52298
33.71268,11.52552
15.71432,41.50552
47.73062,21.53404
29.72228,51.51352
11.7264,31.54136
43.73828,11.54412
25.4368,41.52354
6.43944,21.55284
37.44936,51.53298
18.44718,31.56062
49.47108,10.74932
30.45494,39.72876
11.4594,18.7573
41.8793,47.73664
21.86658,26.76478
1.8705,5.7687
31.88744,34.4071
11.8775,12.43528
41.88312,40.4149
21.88584,18.44354
1.89052,46.4222
31.6957,24.45216
10.67588,2.45492
39.68722,30.4338
18.68356,8.46306
47.70376,35.6433
26.6906,12.67224
5.69442,39.65018
34.71678,16.67934
13.70294,43.65812
42.7127,20.68728
21.36014,47.6675
49.38006,24.69512
27.36708,1.69986
5.37174,27.78276
33.38814,3.81056
11.37878,29.78962
39.3836,5.81904
17.38726,31.79782
45.40144,7.82842
22.74538,33.80492
49.77048,9.8345
26.75336,35.8136
3.75732,11.4505
30.7834,36.42918
7.76454,11.4584
34.77494,36.43602
11.77338,11.46534
38.796,36.4442
15.3564,11.474
41.36414,36.45264
17.36414,11.48086
43.38602,36.46
19.37166,10.55746
45.38182,34.53604
21.37942,8.56448
47.39924,32.54366
23.3888,6.57264
48.99536,30.55148
23.9951,4.58078
49.01292,28.07184
24.00314,51.07654
49.00878,24.104
24.01044,47.08324
49.02602,20.11292
24.01858,43.092
49.04326,16.11932
23.29244,39.09876
47.30548,12.12766
21.29994,34.12612
45.32676,6.15488
19.30784,28.1343
43.31868,50.13774
17.31504,22.16664
41.34046,44.14552
15.32282,16.17488
39.33178,37.62486
13.20274,8.654
36.22528,29.63192
9.2101,50.63774
32.21526,21.66596
5.21756,42.64516
28.23888,13.67396
51.24392,34.6541
24.23002,5.68136
47.2397,26.6606
20.2378,47.66416
43.25754,18.69396
15.28296,39.6723
37.29022,10.53074
9.29026,30.50882
31.30818,50.51422
3.29856,20.54276
25.30306,40.5228
46.46526,10.55116
17.4656,30.5299
38.48322,50.53514
9.47376,20.56294
30.47904,40.54234
51.3428,10.57142
21.34598,30.3478
41.36068,49.35258
11.35306,18.38148
31.37764,37.35982
51.36178,6.38924
21.36532,25.36842
41.37954,44.3723
11.3726,13.4023
31.40126,32.38082
51.4019,51.16306
20.58752,19.19122
39.60062,37.1704
8.59494,5.19998
27.61728,23.17834
46.6231,41.18268
15.60654,9.2109
34.61956,27.1901
3.61542,45.071
22.64208,12.10034
41.6468,29.07952
10.6265,46.08244
29.6381,13.11252
48.64356,30.09082
17.6392,47.09544
35.8842,14.12314
3.86558,30.88352
21.87582,46.88778
39.88132,12.91754
7.87694,28.89646
25.89776,44.90094
43.903,10.92894
11.88886,26.90842
29.9,42.91248
47.90506,8.59664
15.9012,23.57546
33.92662,38.57862
51.17356,3.60798
18.15898,18.58848
35.17018,33.59142
2.16782,48.59588
19.19166,13.6237
36.19704,28.60306
3.17898,42.79066
20.18854,6.81982
37.1941,20.79886
4.03344,34.80378
20.0584,48.80794
36.05804,12.83518
2.0459,26.8152
18.0553,40.4271
34.06108,3.45504
50.06636,16.43544
16.06272,29.44
32.08264,42.44438
47.49764,5.47266
12.4792,18.45236
27.48956,31.45698
42.49466,44.46166
7.49036,6.85204
22.51128,18.83112
37.52188,30.83484
2.50286,42.83908
17.51368,4.86874
32.5191,16.8464
47.52432,28.85078
12.5184,40.58454
27.5456,51.5893
41.59406,12.61718
5.57416,23.59658
19.58612,34.60132
33.59174,45.60384
47.59684,6.63408
11.59074,17.6121
25.61838,28.20456
39.62402,38.20942
3.60234,48.21308
17.61608,8.24194
31.62144,18.22098
45.627,28.22474
9.61876,38.2309
22.95254,48.23398
35.95336,8.26188
48.93716,18.0702
11.9392,27.07472
24.9555,36.07944
37.96032,45.08406
50.96558,4.11294
13.95604,13.09164
26.0394,22.09582
38.04466,30.53454
50.05024,38.53936
12.0508,46.5435
24.06852,4.57206
36.073,12.55074
48.07872,20.5549
10.06626,28.55988
21.94604,36.31686
32.95118,43.32082
43.9518,50.32506
4.95376,7.35428
15.9743,14.33372
26.97924,21.33754
37.02038,28.34178
47.02564,35.34604
7.0107,42.12602
17.01546,48.13078
27.02288,4.16072
36.87796,10.13914
45.62364,16.14372
3.62032,22.14742
11.6453,28.15232
19.64536,34.1562
27.65604,40.16018
35.66126,46.16464
43.66216,2.1927
51.35574,7.72506
8.33854,12.72962
15.35182,17.7345
22.3576,22.73818
29.36274,27.74292
36.36794,32.74744
43.3735,36.99822
49.69184,41.0028
5.68024,45.0073
11.68756,49.01134
17.69298,3.04072
23.69824,7.01962
29.58234,11.02398
34.5891,14.55056
39.59438,17.55506
44.60024,20.55942
49.60562,23.56322
4.60292,26.56772
9.49876,29.57232
13.4994,32.5761
17.50478,34.90714
21.5151,36.911
25.51554,38.9158
29.52126,40.91998
33.3605,42.92472
36.34496,44.92938
39.35,46.93282
42.35536,48.93698
45.36032,50.94168
48.36174,2.97038
51.3654,4.15716
4.15698,5.1613
6.17862,6.16572
8.1842,7.17032
10.18974,8.1744
12.1957,9.17888
14.20048,10.1832
16.20078,11.1872
17.5641,12.1927
18.5697,13.19564
19.5703,14.19972
20.55412,15.2044
21.55958,15.55758
22.56478,15.56278
23.5705,15.56656
24.57614,15.57098
25.5769,15.57452
26.58102,15.58026
26.78014,15.58428
26.78596,15.58844
26.79098,15.52778
26.79614,14.53156
26.80204,13.53616
26.80698,12.54028
26.81242,11.54472
26.81796,10.54922
26.81582,9.55264
25.82156,8.1208
24.82668,6.1244
23.8318,4.12874
22.83728,2.13394
21.84348,50.1379
21.51094,48.1428
21.51672,46.14684
21.52208,44.15118
21.52712,42.15566
21.52786,40.16018
21.53802,38.16462
21.51716,35.2372
21.52236,32.24056
21.52802,29.24528
21.53306,26.24956
21.82566,23.25372
22.8261,20.8163
23.8321,18.82096
24.8382,16.82574
25.84352,14.82934
26.8492,12.83408
28.3949,10.83836
30.40078,8.8425
32.40602,6.84702
34.4113,4.85094
36.41688,2.85588
38.69722,50.85974
41.7025,48.86488
44.70792,46.86916
47.71302,45.01564
50.71822,44.01966
3.70492,43.02436
7.41292,42.02868
11.41338,41.03286
15.41754,40.69036
19.42472,40.69458
23.43016,40.69892
27.46288,40.70294
32.4683,40.70678
37.47362,40.78126
42.47918,41.78406
47.4841,42.78926
2.47758,43.79338
7.54598,44.79768
13.54706,45.802
19.55216,47.34702
25.53588,49.3515
31.54104,51.35602
37.54696,3.38566
44.31382,5.36366
51.31932,7.42708
8.31658,10.43116
15.3373,13.4345
22.33748,16.43986
30.03056,19.44284
38.03582,22.44756
46.0412,25.45282
4.02438,28.45686
12.03296,32.42264
20.03842,36.42728
28.73938,40.43006
37.74466,44.43484
46.74986,48.43908
5.74512,2.46756
14.77148,6.44624
23.77646,10.45116
32.77732,15.41848
41.78686,20.42208
50.76664,25.42692
9.7696,30.8873
18.9407,36.89074
28.94572,42.89506
38.95114,48.89932
48.95608,4.92884
8.94658,10.90788
18.9521,16.91212
29.00134,22.91522
40.0069,28.92086
51.01232,34.92454
12.01102,40.92918
23.03024,47.24458
34.03526,4.2755
45.77118,11.25432
7.75758,18.25826
19.76678,25.2619
31.76738,33.2389
43.77314,41.24342
5.77366,49.2479
18.43714,7.27484
31.4429,15.25444
44.44834,23.76218
7.4325,32.76628
20.4378,41.76982
33.4449,50.77446
46.74836,9.80296
10.74842,18.78278
24.77168,28.0544
38.77698,38.0589
2.76004,48.06212
16.76852,8.09128
31.69526,18.07056
46.70084,28.07424
11.69782,38.1614
26.72246,49.1652
41.72778,10.19346
6.92152,21.17288
22.93174,32.1779
38.93662,43.54814
4.93332,5.57778
20.95834,17.55712
36.95862,29.56054
3.3458,41.5653
20.35468,3.59256
37.35398,15.57198
4.35732,27.57546
21.38248,39.58028
38.38242,51.58394
5.3697,13.6141
22.79248,25.59298
40.79744,37.59722
8.79408,49.60098
26.81926,11.71558
44.82458,24.6944
13.13306,37.699
32.1437,50.70276
51.14884,13.73256
20.14576,26.71274
39.16562,39.71596
8.15286,2.74524
27.75948,15.7246
47.76516,29.58834
17.76298,43.5927
37.78708,7.62002
7.76998,21.59978
27.77804,35.60426
47.7833,50.16264
18.61354,15.19124
39.6365,30.17026
10.6217,45.17462
31.62776,10.203
2.62902,25.18204
24.32542,40.1862
46.33088,5.21552
18.3171,20.19524
40.32642,35.19898
12.32416,50.20398
34.6067,15.23126
