Time [s],Channel 0,Channel 1
2024-02-06T10:50:26.698669000+00:00,0,0
2024-02-06T10:50:26.764253360+00:00,1,0
2024-02-06T10:50:26.764303380+00:00,0,0
2024-02-06T10:50:26.776610120+00:00,0,1
2024-02-06T10:50:26.776611200+00:00,0,0
2024-02-06T10:50:27.015252580+00:00,1,0
2024-02-06T10:50:27.015302580+00:00,0,0
2024-02-06T10:50:27.026613780+00:00,0,1
2024-02-06T10:50:27.026614860+00:00,0,0
2024-02-06T10:50:27.266251780+00:00,1,0
2024-02-06T10:50:27.266301780+00:00,0,0
2024-02-06T10:50:27.276617660+00:00,0,1
2024-02-06T10:50:27.276618740+00:00,0,0
2024-02-06T10:50:27.517250980+00:00,1,0
2024-02-06T10:50:27.517300980+00:00,0,0
2024-02-06T10:50:27.526620520+00:00,0,1
2024-02-06T10:50:27.526621600+00:00,0,0
2024-02-06T10:50:27.768250180+00:00,1,0
2024-02-06T10:50:27.768300180+00:00,0,0
2024-02-06T10:50:27.776624520+00:00,0,1
2024-02-06T10:50:27.776625600+00:00,0,0
2024-02-06T10:50:28.019249380+00:00,1,0
2024-02-06T10:50:28.019299380+00:00,0,0
2024-02-06T10:50:28.026628040+00:00,0,1
2024-02-06T10:50:28.026629120+00:00,0,0
2024-02-06T10:50:28.270248580+00:00,1,0
2024-02-06T10:50:28.270298580+00:00,0,0
2024-02-06T10:50:28.276631620+00:00,0,1
2024-02-06T10:50:28.276632700+00:00,0,0
2024-02-06T10:50:28.521247780+00:00,1,0
2024-02-06T10:50:28.521297780+00:00,0,0
2024-02-06T10:50:28.526634200+00:00,0,1
2024-02-06T10:50:28.526635280+00:00,0,0
2024-02-06T10:50:28.772246980+00:00,1,0
2024-02-06T10:50:28.772297000+00:00,0,0
2024-02-06T10:50:28.776637680+00:00,0,1
2024-02-06T10:50:28.776638760+00:00,0,0
2024-02-06T10:50:29.023246180+00:00,1,0
2024-02-06T10:50:29.023296200+00:00,0,0
2024-02-06T10:50:29.026641120+00:00,0,1
2024-02-06T10:50:29.026642200+00:00,0,0
2024-02-06T10:50:29.274245380+00:00,1,0
2024-02-06T10:50:29.274295400+00:00,0,0
2024-02-06T10:50:29.276644960+00:00,0,1
2024-02-06T10:50:29.276646040+00:00,0,0
2024-02-06T10:50:29.525244600+00:00,1,0
2024-02-06T10:50:29.525294600+00:00,0,0
2024-02-06T10:50:29.576648020+00:00,0,1
2024-02-06T10:50:29.576649100+00:00,0,0
2024-02-06T10:50:29.776243800+00:00,1,0
2024-02-06T10:50:29.776293800+00:00,0,0
2024-02-06T10:50:29.826652120+00:00,0,1
2024-02-06T10:50:29.826653180+00:00,0,0
2024-02-06T10:50:30.027243000+00:00,1,0
2024-02-06T10:50:30.027293000+00:00,0,0
2024-02-06T10:50:30.076655000+00:00,0,1
2024-02-06T10:50:30.076656080+00:00,0,0
2024-02-06T10:50:30.278242200+00:00,1,0
2024-02-06T10:50:30.278292200+00:00,0,0
2024-02-06T10:50:30.326658580+00:00,0,1
2024-02-06T10:50:30.326659660+00:00,0,0
2024-02-06T10:50:30.529241400+00:00,1,0
2024-02-06T10:50:30.529291400+00:00,0,0
2024-02-06T10:50:30.576662680+00:00,0,1
2024-02-06T10:50:30.576663760+00:00,0,0
2024-02-06T10:50:30.780240600+00:00,1,0
2024-02-06T10:50:30.780290600+00:00,0,0
2024-02-06T10:50:30.826666140+00:00,0,1
2024-02-06T10:50:30.826667220+00:00,0,0
2024-02-06T10:50:31.031239800+00:00,1,0
2024-02-06T10:50:31.031289800+00:00,0,0
2024-02-06T10:50:31.076670360+00:00,0,1
2024-02-06T10:50:31.076671440+00:00,0,0
2024-02-06T10:50:31.282239000+00:00,1,0
2024-02-06T10:50:31.282289000+00:00,0,0
2024-02-06T10:50:31.326673620+00:00,0,1
2024-02-06T10:50:31.326674700+00:00,0,0
2024-02-06T10:50:31.533238200+00:00,1,0
2024-02-06T10:50:31.533288200+00:00,0,0
2024-02-06T10:50:31.576676160+00:00,0,1
2024-02-06T10:50:31.576677240+00:00,0,0
2024-02-06T10:50:31.784237400+00:00,1,0
2024-02-06T10:50:31.784287400+00:00,0,0
2024-02-06T10:50:31.826680140+00:00,0,1
2024-02-06T10:50:31.826681220+00:00,0,0
2024-02-06T10:50:32.035236600+00:00,1,0
2024-02-06T10:50:32.035286620+00:00,0,0
2024-02-06T10:50:32.076683560+00:00,0,1
2024-02-06T10:50:32.076684640+00:00,0,0
2024-02-06T10:50:32.286235800+00:00,1,0
2024-02-06T10:50:32.286285820+00:00,0,0
2024-02-06T10:50:32.326686520+00:00,0,1
2024-02-06T10:50:32.326687600+00:00,0,0
2024-02-06T10:50:32.537235000+00:00,1,0
2024-02-06T10:50:32.537285020+00:00,0,0
2024-02-06T10:50:32.576690600+00:00,0,1
2024-02-06T10:50:32.576691680+00:00,0,0
2024-02-06T10:50:32.788234200+00:00,1,0
2024-02-06T10:50:32.788284220+00:00,0,0
2024-02-06T10:50:32.826693660+00:00,0,1
2024-02-06T10:50:32.826694740+00:00,0,0
2024-02-06T10:50:33.039233400+00:00,1,0
2024-02-06T10:50:33.039283420+00:00,0,0
2024-02-06T10:50:33.076697720+00:00,0,1
2024-02-06T10:50:33.076698780+00:00,0,0
2024-02-06T10:50:33.290232600+00:00,1,0
2024-02-06T10:50:33.290282620+00:00,0,0
2024-02-06T10:50:33.326700900+00:00,0,1
2024-02-06T10:50:33.326701980+00:00,0,0
2024-02-06T10:50:33.541231800+00:00,1,0
2024-02-06T10:50:33.541281820+00:00,0,0
2024-02-06T10:50:33.576704080+00:00,0,1
2024-02-06T10:50:33.576705160+00:00,0,0
2024-02-06T10:50:33.792231000+00:00,1,0
2024-02-06T10:50:33.792281020+00:00,0,0
2024-02-06T10:50:33.826707800+00:00,0,1
2024-02-06T10:50:33.826708880+00:00,0,0
2024-02-06T10:50:34.043230200+00:00,1,0
2024-02-06T10:50:34.043280220+00:00,0,0
2024-02-06T10:50:34.076711760+00:00,0,1
2024-02-06T10:50:34.076712840+00:00,0,0
2024-02-06T10:50:34.294229400+00:00,1,0
2024-02-06T10:50:34.294279420+00:00,0,0
2024-02-06T10:50:34.326714920+00:00,0,1
2024-02-06T10:50:34.326716000+00:00,0,0
2024-02-06T10:50:34.545228600+00:00,1,0
2024-02-06T10:50:34.545278620+00:00,0,0
2024-02-06T10:50:34.576718980+00:00,0,1
2024-02-06T10:50:34.576720060+00:00,0,0
2024-02-06T10:50:34.796227800+00:00,1,0
2024-02-06T10:50:34.796277820+00:00,0,0
2024-02-06T10:50:34.826722240+00:00,0,1
2024-02-06T10:50:34.826723320+00:00,0,0
2024-02-06T10:50:35.047227000+00:00,1,0
2024-02-06T10:50:35.047277020+00:00,0,0
2024-02-06T10:50:35.076725600+00:00,0,1
2024-02-06T10:50:35.076726680+00:00,0,0
2024-02-06T10:50:35.298226200+00:00,1,0
2024-02-06T10:50:35.298276220+00:00,0,0
2024-02-06T10:50:35.326728160+00:00,0,1
2024-02-06T10:50:35.326729240+00:00,0,0
2024-02-06T10:50:35.549225400+00:00,1,0
2024-02-06T10:50:35.549275420+00:00,0,0
2024-02-06T10:50:35.576733160+00:00,0,1
2024-02-06T10:50:35.576734240+00:00,0,0
2024-02-06T10:50:35.800224600+00:00,1,0
2024-02-06T10:50:35.800274600+00:00,0,0
2024-02-06T10:50:35.826735500+00:00,0,1
2024-02-06T10:50:35.826736580+00:00,0,0
2024-02-06T10:50:36.051223800+00:00,1,0
2024-02-06T10:50:36.051273800+00:00,0,0
2024-02-06T10:50:36.076739260+00:00,0,1
2024-02-06T10:50:36.076740340+00:00,0,0
2024-02-06T10:50:36.302223000+00:00,1,0
2024-02-06T10:50:36.302273000+00:00,0,0
2024-02-06T10:50:36.326742340+00:00,0,1
2024-02-06T10:50:36.326743420+00:00,0,0
2024-02-06T10:50:36.553222200+00:00,1,0
2024-02-06T10:50:36.553272200+00:00,0,0
2024-02-06T10:50:36.576746320+00:00,0,1
2024-02-06T10:50:36.576747400+00:00,0,0
2024-02-06T10:50:36.804221400+00:00,1,0
2024-02-06T10:50:36.804271400+00:00,0,0
2024-02-06T10:50:36.826748580+00:00,0,1
2024-02-06T10:50:36.826749660+00:00,0,0
2024-02-06T10:50:37.055220600+00:00,1,0
2024-02-06T10:50:37.055270600+00:00,0,0
2024-02-06T10:50:37.076753240+00:00,0,1
2024-02-06T10:50:37.076754320+00:00,0,0
2024-02-06T10:50:37.306219800+00:00,1,0
2024-02-06T10:50:37.306269800+00:00,0,0
2024-02-06T10:50:37.326756540+00:00,0,1
2024-02-06T10:50:37.326757620+00:00,0,0
2024-02-06T10:50:37.557219000+00:00,1,0
2024-02-06T10:50:37.557269000+00:00,0,0
2024-02-06T10:50:37.576760360+00:00,0,1
2024-02-06T10:50:37.576761440+00:00,0,0
2024-02-06T10:50:37.808218200+00:00,1,0
2024-02-06T10:50:37.808268200+00:00,0,0
2024-02-06T10:50:37.826763520+00:00,0,1
2024-02-06T10:50:37.826764600+00:00,0,0
2024-02-06T10:50:38.059217400+00:00,1,0
2024-02-06T10:50:38.059267400+00:00,0,0
2024-02-06T10:50:38.076767500+00:00,0,1
2024-02-06T10:50:38.076768580+00:00,0,0
2024-02-06T10:50:38.310216580+00:00,1,0
2024-02-06T10:50:38.310266600+00:00,0,0
2024-02-06T10:50:38.326771060+00:00,0,1
2024-02-06T10:50:38.326772140+00:00,0,0
2024-02-06T10:50:38.561215780+00:00,1,0
2024-02-06T10:50:38.561265800+00:00,0,0
2024-02-06T10:50:38.576773620+00:00,0,1
2024-02-06T10:50:38.576774700+00:00,0,0
2024-02-06T10:50:38.812214980+00:00,1,0
2024-02-06T10:50:38.812265000+00:00,0,0
2024-02-06T10:50:38.826778100+00:00,0,1
2024-02-06T10:50:38.826779180+00:00,0,0
2024-02-06T10:50:39.063214180+00:00,1,0
2024-02-06T10:50:39.063264200+00:00,0,0
2024-02-06T10:50:39.076781100+00:00,0,1
2024-02-06T10:50:39.076782180+00:00,0,0
2024-02-06T10:50:39.314213380+00:00,1,0
2024-02-06T10:50:39.314263380+00:00,0,0
2024-02-06T10:50:39.326784080+00:00,0,1
2024-02-06T10:50:39.326785160+00:00,0,0
2024-02-06T10:50:39.565212580+00:00,1,0
2024-02-06T10:50:39.565262580+00:00,0,0
2024-02-06T10:50:39.576787860+00:00,0,1
2024-02-06T10:50:39.576788940+00:00,0,0
2024-02-06T10:50:39.816211780+00:00,1,0
2024-02-06T10:50:39.816261780+00:00,0,0
2024-02-06T10:50:39.826791340+00:00,0,1
2024-02-06T10:50:39.826792420+00:00,0,0
2024-02-06T10:50:40.067210980+00:00,1,0
2024-02-06T10:50:40.067260980+00:00,0,0
2024-02-06T10:50:40.076794980+00:00,0,1
2024-02-06T10:50:40.076796060+00:00,0,0
2024-02-06T10:50:40.318210180+00:00,1,0
2024-02-06T10:50:40.318260180+00:00,0,0
2024-02-06T10:50:40.326798740+00:00,0,1
2024-02-06T10:50:40.326799820+00:00,0,0
2024-02-06T10:50:40.569209380+00:00,1,0
2024-02-06T10:50:40.569259380+00:00,0,0
2024-02-06T10:50:40.576801760+00:00,0,1
2024-02-06T10:50:40.576802840+00:00,0,0
2024-02-06T10:50:40.820208560+00:00,1,0
2024-02-06T10:50:40.820258580+00:00,0,0
2024-02-06T10:50:40.826805000+00:00,0,1
2024-02-06T10:50:40.826806080+00:00,0,0
2024-02-06T10:50:41.071207760+00:00,1,0
2024-02-06T10:50:41.071257780+00:00,0,0
2024-02-06T10:50:41.076808440+00:00,0,1
2024-02-06T10:50:41.076809500+00:00,0,0
2024-02-06T10:50:41.322206960+00:00,1,0
2024-02-06T10:50:41.322256960+00:00,0,0
2024-02-06T10:50:41.326811540+00:00,0,1
2024-02-06T10:50:41.326812620+00:00,0,0
2024-02-06T10:50:41.573206160+00:00,1,0
2024-02-06T10:50:41.573256160+00:00,0,0
2024-02-06T10:50:41.576815780+00:00,0,1
2024-02-06T10:50:41.576816860+00:00,0,0
2024-02-06T10:50:41.824205360+00:00,1,0
2024-02-06T10:50:41.824255360+00:00,0,0
2024-02-06T10:50:41.826819480+00:00,0,1
2024-02-06T10:50:41.826820560+00:00,0,0
2024-02-06T10:50:42.075204560+00:00,1,0
2024-02-06T10:50:42.075254560+00:00,0,0
2024-02-06T10:50:42.076823280+00:00,0,1
2024-02-06T10:50:42.076824360+00:00,0,0
2024-02-06T10:50:42.326203760+00:00,1,0
2024-02-06T10:50:42.326253760+00:00,0,0
2024-02-06T10:50:42.376827660+00:00,0,1
2024-02-06T10:50:42.376828740+00:00,0,0
2024-02-06T10:50:42.577202940+00:00,1,0
2024-02-06T10:50:42.577252960+00:00,0,0
2024-02-06T10:50:42.626830540+00:00,0,1
2024-02-06T10:50:42.626831620+00:00,0,0
2024-02-06T10:50:42.828202140+00:00,1,0
2024-02-06T10:50:42.828252160+00:00,0,0
2024-02-06T10:50:42.876833940+00:00,0,1
2024-02-06T10:50:42.876835020+00:00,0,0
2024-02-06T10:50:43.079201340+00:00,1,0
2024-02-06T10:50:43.079251340+00:00,0,0
2024-02-06T10:50:43.126838540+00:00,0,1
2024-02-06T10:50:43.126839620+00:00,0,0
2024-02-06T10:50:43.330200540+00:00,1,0
2024-02-06T10:50:43.330250540+00:00,0,0
2024-02-06T10:50:43.376841740+00:00,0,1
2024-02-06T10:50:43.376842800+00:00,0,0
2024-02-06T10:50:43.581199740+00:00,1,0
2024-02-06T10:50:43.581249740+00:00,0,0
2024-02-06T10:50:43.626844880+00:00,0,1
2024-02-06T10:50:43.626845960+00:00,0,0
2024-02-06T10:50:43.832198940+00:00,1,0
2024-02-06T10:50:43.832248940+00:00,0,0
2024-02-06T10:50:43.876848200+00:00,0,1
2024-02-06T10:50:43.876849280+00:00,0,0
2024-02-06T10:50:44.083198120+00:00,1,0
2024-02-06T10:50:44.083248140+00:00,0,0
2024-02-06T10:50:44.126851760+00:00,0,1
2024-02-06T10:50:44.126852840+00:00,0,0
2024-02-06T10:50:44.334197320+00:00,1,0
2024-02-06T10:50:44.334247320+00:00,0,0
2024-02-06T10:50:44.376855960+00:00,0,1
2024-02-06T10:50:44.376857040+00:00,0,0
2024-02-06T10:50:44.585196520+00:00,1,0
2024-02-06T10:50:44.585246520+00:00,0,0
2024-02-06T10:50:44.626859540+00:00,0,1
2024-02-06T10:50:44.626860620+00:00,0,0
2024-02-06T10:50:44.836195720+00:00,1,0
2024-02-06T10:50:44.836245720+00:00,0,0
2024-02-06T10:50:44.876861780+00:00,0,1
2024-02-06T10:50:44.876862860+00:00,0,0
2024-02-06T10:50:45.087194920+00:00,1,0
2024-02-06T10:50:45.087244920+00:00,0,0
2024-02-06T10:50:45.126864960+00:00,0,1
2024-02-06T10:50:45.126866040+00:00,0,0
2024-02-06T10:50:45.338194100+00:00,1,0
2024-02-06T10:50:45.338244120+00:00,0,0
2024-02-06T10:50:45.376868580+00:00,0,1
2024-02-06T10:50:45.376869660+00:00,0,0
2024-02-06T10:50:45.589193300+00:00,1,0
2024-02-06T10:50:45.589243320+00:00,0,0
2024-02-06T10:50:45.626873120+00:00,0,1
2024-02-06T10:50:45.626874200+00:00,0,0
2024-02-06T10:50:45.840192500+00:00,1,0
2024-02-06T10:50:45.840242500+00:00,0,0
2024-02-06T10:50:45.876876560+00:00,0,1
2024-02-06T10:50:45.876877640+00:00,0,0
2024-02-06T10:50:46.091191700+00:00,1,0
2024-02-06T10:50:46.091241700+00:00,0,0
2024-02-06T10:50:46.126879440+00:00,0,1
2024-02-06T10:50:46.126880520+00:00,0,0
2024-02-06T10:50:46.342190900+00:00,1,0
2024-02-06T10:50:46.342240900+00:00,0,0
2024-02-06T10:50:46.376883080+00:00,0,1
2024-02-06T10:50:46.376884140+00:00,0,0
2024-02-06T10:50:46.593190080+00:00,1,0
2024-02-06T10:50:46.593240100+00:00,0,0
2024-02-06T10:50:46.626886460+00:00,0,1
2024-02-06T10:50:46.626887540+00:00,0,0
2024-02-06T10:50:46.844189280+00:00,1,0
2024-02-06T10:50:46.844239280+00:00,0,0
2024-02-06T10:50:46.876890420+00:00,0,1
2024-02-06T10:50:46.876891500+00:00,0,0
2024-02-06T10:50:47.095188480+00:00,1,0
2024-02-06T10:50:47.095238480+00:00,0,0
2024-02-06T10:50:47.126892560+00:00,0,1
2024-02-06T10:50:47.126893640+00:00,0,0
2024-02-06T10:50:47.346187680+00:00,1,0
2024-02-06T10:50:47.346237680+00:00,0,0
2024-02-06T10:50:47.376897300+00:00,0,1
2024-02-06T10:50:47.376898380+00:00,0,0
2024-02-06T10:50:47.597186860+00:00,1,0
2024-02-06T10:50:47.597236880+00:00,0,0
2024-02-06T10:50:47.626900060+00:00,0,1
2024-02-06T10:50:47.626901140+00:00,0,0
2024-02-06T10:50:47.848186060+00:00,1,0
2024-02-06T10:50:47.848236060+00:00,0,0
2024-02-06T10:50:47.876904380+00:00,0,1
2024-02-06T10:50:47.876905460+00:00,0,0
2024-02-06T10:50:48.099185260+00:00,1,0
2024-02-06T10:50:48.099235260+00:00,0,0
2024-02-06T10:50:48.126907820+00:00,0,1
2024-02-06T10:50:48.126908900+00:00,0,0
2024-02-06T10:50:48.350184460+00:00,1,0
2024-02-06T10:50:48.350234460+00:00,0,0
2024-02-06T10:50:48.376911120+00:00,0,1
2024-02-06T10:50:48.376912200+00:00,0,0
2024-02-06T10:50:48.601183640+00:00,1,0
2024-02-06T10:50:48.601233660+00:00,0,0
2024-02-06T10:50:48.626915580+00:00,0,1
2024-02-06T10:50:48.626916660+00:00,0,0
2024-02-06T10:50:48.852182840+00:00,1,0
2024-02-06T10:50:48.852232860+00:00,0,0
2024-02-06T10:50:48.876918020+00:00,0,1
2024-02-06T10:50:48.876919100+00:00,0,0
2024-02-06T10:50:49.103182040+00:00,1,0
2024-02-06T10:50:49.103232040+00:00,0,0
2024-02-06T10:50:49.126920700+00:00,0,1
2024-02-06T10:50:49.126921780+00:00,0,0
2024-02-06T10:50:49.354181240+00:00,1,0
2024-02-06T10:50:49.354231240+00:00,0,0
2024-02-06T10:50:49.376925220+00:00,0,1
2024-02-06T10:50:49.376926300+00:00,0,0
2024-02-06T10:50:49.605180440+00:00,1,0
2024-02-06T10:50:49.605230440+00:00,0,0
2024-02-06T10:50:49.626928440+00:00,0,1
2024-02-06T10:50:49.626929520+00:00,0,0
2024-02-06T10:50:49.856179620+00:00,1,0
2024-02-06T10:50:49.856229640+00:00,0,0
2024-02-06T10:50:49.876932080+00:00,0,1
2024-02-06T10:50:49.876933160+00:00,0,0
2024-02-06T10:50:50.107178820+00:00,1,0
2024-02-06T10:50:50.107228820+00:00,0,0
2024-02-06T10:50:50.126934980+00:00,0,1
2024-02-06T10:50:50.126936060+00:00,0,0
2024-02-06T10:50:50.358178020+00:00,1,0
2024-02-06T10:50:50.358228020+00:00,0,0
2024-02-06T10:50:50.376939240+00:00,0,1
2024-02-06T10:50:50.376940320+00:00,0,0
2024-02-06T10:50:50.609177220+00:00,1,0
