12B-cs2,12B-sc2,12B-cs,12B-sc
11.08309,3.56142,4.74561,22.51252
11.08808,3.56508,4.74989,22.51604
11.09091,3.56762,4.75333,22.51998
11.09587,3.57136,4.75848,22.52374
11.0984,3.57456,4.76328,22.52612
11.10534,3.57768,54.76642,22.53002
11.10887,3.58152,4.9378,22.53392
11.11284,3.58472,4.7753,22.53596
11.11822,3.5887,4.77881,22.54066
11.12174,3.59326,4.78346,22.54362
11.1269,3.59506,4.78934,22.5472
11.13083,3.5998,4.79168,22.5503
11.13422,3.60256,4.79873,22.554
11.13898,3.6056,4.80232,22.55788
11.14362,3.61036,4.80757,22.55958
11.14872,3.61282,4.81228,22.5641
11.15418,3.61676,4.81634,22.56784
11.158,3.62012,4.81881,22.57018
11.16142,3.62378,4.82476,22.57448
11.16584,3.62754,4.82959,22.57704
11.17154,3.6301,4.83231,22.5812
11.17654,3.6339,4.8383,22.58518
11.17916,3.63648,4.84145,22.5882
11.18356,3.64096,4.84624,22.59232
11.18811,3.64458,4.85133,22.5956
11.19445,3.64648,4.85528,22.59858
11.19817,3.65134,4.86049,22.60212
11.2031,3.65438,4.86494,22.60572
11.20522,3.65854,4.8679,22.609
11.21059,3.66222,4.8722,22.61248
11.21442,3.66404,4.87625,22.61632
11.21845,3.66814,4.88119,22.61924
11.22401,3.6708,4.8856,22.62244
11.22789,3.67504,4.89151,22.62674
11.23203,3.67952,4.89611,22.62918
11.23938,3.68194,4.90068,22.6329
11.24108,3.6855,4.90345,22.63664
11.24607,3.68864,4.90822,22.63928
11.24938,3.69264,4.91105,22.64416
11.2562,3.69568,4.91711,22.64596
11.26056,3.69822,4.92113,22.65046
11.26605,3.70388,4.92754,22.65368
11.26897,3.70606,4.92955,22.657
11.27168,3.71024,4.93576,22.6615
11.27793,3.7138,4.93941,22.66356
11.28355,3.71606,4.94215,22.66752
11.28682,3.72096,4.94947,22.67058
11.29012,3.72346,4.95236,22.67406
11.29627,3.72702,4.95799,22.679
11.29905,3.73016,4.96098,22.68152
11.30506,3.73348,4.96643,22.68528
11.30811,3.7384,4.96959,22.68772
11.31256,3.74114,4.97401,22.6928
11.31753,3.74372,4.97948,22.69582
11.32318,3.74816,4.98463,22.6989
11.32649,3.75042,4.98748,22.70236
11.33119,3.75426,4.99148,22.70558
11.3348,3.7572,4.99648,22.70874
11.33924,3.76144,5.00196,22.71326
11.34455,3.7656,5.00619,22.71548
11.34962,3.7673,5.01039,22.72016
11.35209,3.77228,5.01563,22.72312
11.35762,3.77456,5.02049,22.72688
11.3632,3.77868,5.023,22.73064
11.36449,3.78226,5.02887,22.73294
11.37046,3.78554,5.03298,22.73712
11.37573,3.78922,5.03707,22.7398
11.37974,3.79268,5.04153,22.74356
11.38404,3.7956,5.04691,22.74706
11.38949,3.79926,5.05099,22.75078
11.391,3.80286,5.05492,22.75388
11.39712,3.80628,5.05917,22.75636
11.40039,3.80928,5.06462,22.76086
11.40712,3.81348,5.06875,22.765
11.41073,3.81712,5.07294,22.76806
11.41566,3.82012,5.07769,22.77176
11.42046,3.8241,5.08104,22.77376
11.42396,3.82694,5.08491,22.77764
11.42672,3.83124,5.09071,22.78302
11.43123,3.8337,5.09423,22.78514
11.43636,3.8378,5.09862,22.78882
11.44137,3.84082,5.10313,22.79142
11.44505,3.84402,5.10959,22.79542
11.45244,3.84816,5.11342,22.7997
11.4541,3.8515,5.11603,22.80188
11.45838,3.85484,5.1207,22.80554
11.46251,3.85822,5.12605,22.80864
11.46777,3.8615,5.1297,22.81214
11.47133,3.86514,5.13639,22.81666
11.47739,3.86944,5.13804,22.81966
11.48144,3.87234,5.1429,22.82362
11.48575,3.87638,5.14778,22.8266
11.49106,3.87834,5.15277,22.8305
11.4962,3.88214,5.15676,22.83342
11.49835,3.88618,5.16017,22.83694
11.50476,3.8886,5.16471,22.84036
11.50798,3.89234,5.17101,22.8432
11.51313,3.89602,5.17341,22.8473
11.51689,3.9,5.17834,22.85136
11.52223,3.90362,5.18227,22.85468
11.52474,3.90588,5.18829,22.85858
11.53065,3.91056,5.19263,22.86024
11.53359,3.91222,5.1957,22.86476
11.53819,3.91676,5.20152,22.86838
11.54296,3.92054,5.20561,22.87138
11.54734,3.92408,5.20907,22.87464
11.55087,3.92648,5.21469,22.87862
11.55719,3.92968,5.21875,22.88122
11.56014,3.9344,5.22404,22.88604
11.56678,3.93772,5.22815,22.8884
11.57075,3.94076,5.23295,22.8923
11.57342,3.94444,5.23553,22.89598
11.57983,3.94676,5.24062,22.89904
11.58269,3.95104,5.24509,22.90386
11.58719,3.95528,5.25006,22.90614
11.59399,3.95832,5.25429,22.91014
11.59544,3.9617,5.25953,22.91352
11.59989,3.96474,5.2619,22.91612
11.60499,3.96828,5.26925,22.9201
11.61116,3.97276,5.27078,22.92298
11.61495,3.975,5.27549,22.9264
11.61738,3.97964,5.28153,22.92896
11.62311,3.98236,5.28536,22.93478
11.62933,3.98648,5.29093,22.93776
11.63319,3.99006,5.29323,22.94116
11.63799,3.99272,5.29851,22.94424
11.64215,3.99634,5.30256,22.94738
11.64432,3.9991,5.30851,22.95048
11.65078,4.00264,5.31283,22.95524
11.65291,4.00796,5.31552,22.95818
11.65689,4.01022,5.3209,22.96172
11.66237,4.01472,5.32485,22.96482
11.66682,4.0165,5.32881,22.969
11.67185,4.02098,5.33498,22.97216
11.67558,4.02412,5.33917,22.97502
11.68129,4.02774,5.34258,22.97836
11.68554,4.0312,5.34833,22.9821
11.68867,4.03456,5.35252,22.98594
11.6938,4.0384,5.35768,22.99036
11.69927,4.04192,5.36197,22.9917
11.70353,4.04406,5.36584,22.99576
11.70653,4.04884,5.36907,22.99932
11.71306,4.05148,5.37304,23.00352
11.71562,4.05452,5.37801,23.0072
11.71987,4.05906,5.38378,23.01022
11.72486,4.06148,5.38778,23.01386
11.72912,4.06618,5.39335,23.01654
11.73387,4.06958,5.39447,23.02076
11.73909,4.07242,5.40052,23.02494
11.7431,4.07602,5.40406,23.02664
11.74868,4.0788,5.4091,23.0307
11.75368,4.08308,5.41284,23.03308
11.75538,4.0855,5.41911,23.03676
11.76177,4.0897,5.4234,23.04126
11.76566,4.09328,5.42639,23.04426
11.77108,4.09694,5.43293,23.04792
11.7748,4.101,5.4379,23.05042
11.77876,4.10346,5.44158,23.0548
11.78199,4.10722,5.44539,23.0587
11.78772,4.11176,5.44983,23.06082
11.79077,4.1136,5.4541,23.0652
11.79728,4.11768,5.45805,23.06798
11.7999,4.12032,5.46216,23.07262
11.80598,4.1242,5.46758,23.07688
11.80993,4.12816,5.47066,23.07836
11.81287,4.1305,5.47758,23.08272
11.81746,4.13514,5.48018,23.08542
11.82247,4.13836,5.48438,23.08932
11.82833,4.14154,5.48933,23.09346
11.83192,4.14574,5.49396,23.09564
11.8356,4.14756,5.4983,23.10062
11.83959,4.15154,5.50398,23.10348
11.84484,4.15532,5.50584,23.10708
11.84988,4.15948,5.51086,23.11002
11.8532,4.16276,5.51705,23.11344
11.85866,4.16562,5.52026,23.11666
11.8623,4.16978,5.52611,23.12126
11.8676,4.1723,5.52936,23.125
11.87228,4.17556,5.5345,23.12832
11.87625,4.18054,5.53923,23.13128
11.88106,4.18246,5.544,23.13548
11.88455,4.1879,5.5486,23.13702
11.88964,4.19006,5.55279,23.14246
11.8937,4.1943,5.55535,23.14498
11.89776,4.1971,5.56149,23.14806
11.90143,4.19992,5.564,23.1517
11.9066,4.20432,5.57006,23.15538
11.91167,4.2073,5.57451,23.15928
11.91617,4.2105,5.57793,23.1626
11.92097,4.2153,5.58346,23.16524
11.92458,4.21684,5.58588,23.1687
11.92951,4.2211,5.59206,23.1714
11.9334,4.22358,5.59579,23.17578
11.93816,4.2284,5.60022,23.1792
11.94297,4.2318,5.6059,23.18344
11.94629,4.23558,5.60948,23.18666
11.95084,4.2374,5.6128,23.18928
11.95608,4.2424,5.61686,23.19268
11.95958,4.24502,5.6224,23.19714
11.96412,4.24846,5.62673,23.1996
11.96961,4.25182,5.63184,23.20322
11.9737,4.2566,5.63513,23.20664
11.97646,4.25822,5.63946,23.21088
11.98163,4.26276,5.64374,23.21486
11.98628,4.26634,5.64986,23.21738
11.9918,4.26954,5.65458,23.2201
11.99613,4.27222,5.65763,23.22426
12.00036,4.27592,5.66328,23.22782
12.00435,4.27952,5.66862,23.23266
12.00813,4.28374,5.67252,23.23448
12.01447,4.28592,5.67576,23.23728
12.0185,4.2904,5.68135,23.24156
12.02267,4.29338,5.68487,23.24546
12.0258,4.29724,5.68923,23.24902
12.03174,4.30056,5.69313,23.25218
12.0362,4.30424,5.69797,23.25518
12.03957,4.30682,5.70204,23.25854
12.04553,4.3109,5.70645,23.26166
12.0481,4.31424,5.71072,23.26678
12.0531,4.3179,5.71516,23.269
12.05814,4.32132,5.71996,23.27334
12.06368,4.3247,5.72444,23.2749
12.06668,4.32778,5.72999,23.27964
12.07004,4.33112,5.73439,23.28378
12.07575,4.33544,5.73877,23.28678
12.07967,4.33822,5.74138,23.28992
12.08552,4.34242,5.74626,23.29262
12.08874,4.34572,5.75223,23.29646
12.09437,4.34876,5.75573,23.30176
12.09768,4.3532,5.76112,23.30328
12.10307,4.35576,5.76568,23.30832
12.1052,4.35996,5.76888,23.31054
12.11001,4.36276,5.77406,23.31402
12.11477,4.3666,5.77689,23.31782
12.12006,4.3707,5.78389,23.32158
12.12474,4.3726,5.78734,23.32446
12.12839,4.37726,5.79214,23.3283
12.13279,4.37992,5.79567,23.33102
12.13875,4.38384,5.80101,23.33578
12.14292,4.38812,5.80526,23.33866
12.14609,4.39002,5.80971,23.34202
12.15096,4.39446,5.81231,23.34492
12.15481,4.3969,5.81742,23.34806
12.15893,4.4017,5.82052,23.35294
12.16325,4.40466,5.8267,23.35618
12.16933,4.4074,5.83243,23.35958
12.17398,4.41108,5.83601,23.3628
12.17742,4.41438,5.84054,23.3659
12.18224,4.41788,5.8455,23.37018
12.18747,4.42226,5.84948,23.37302
12.19068,4.42472,5.85253,23.3766
12.19458,4.4285,5.85685,23.37956
12.19942,4.4317,5.86151,23.38334
12.2029,4.43542,5.86727,23.3879
12.20958,4.43882,5.87044,23.38976
12.21397,4.44238,5.87501,23.3947
12.21809,4.4449,5.87947,23.3962
12.22201,4.44824,5.88521,23.40038
12.22721,4.4527,5.88759,23.40512
12.22923,4.45642,5.89313,23.40676
12.23366,4.45938,5.89739,23.41224
12.24007,4.46266,5.90202,23.41426
12.24382,4.46576,5.90639,23.4188
12.2489,4.46976,5.91056,23.42254
12.25319,4.47354,5.91455,23.42508
12.25798,4.47736,5.91907,23.4283
12.26194,4.48112,5.92443,23.43108
