Time [s],Channel 0,Channel 1
2024-02-06T01:34:56.801431000+00:00,0,0
2024-02-06T01:34:56.977341080+00:00,1,0
2024-02-06T01:34:56.977391100+00:00,0,0
2024-02-06T01:34:56.999853600+00:00,0,1
2024-02-06T01:34:56.999854680+00:00,0,0
2024-02-06T01:34:57.177340440+00:00,1,0
2024-02-06T01:34:57.177390460+00:00,0,0
2024-02-06T01:34:57.199856480+00:00,0,1
2024-02-06T01:34:57.199857560+00:00,0,0
2024-02-06T01:34:57.377339800+00:00,1,0
2024-02-06T01:34:57.377389820+00:00,0,0
2024-02-06T01:34:57.399859780+00:00,0,1
2024-02-06T01:34:57.399860860+00:00,0,0
2024-02-06T01:34:57.577339160+00:00,1,0
2024-02-06T01:34:57.577389160+00:00,0,0
2024-02-06T01:34:57.599862900+00:00,0,1
2024-02-06T01:34:57.599863980+00:00,0,0
2024-02-06T01:34:57.777338520+00:00,1,0
2024-02-06T01:34:57.777388520+00:00,0,0
2024-02-06T01:34:57.799864640+00:00,0,1
2024-02-06T01:34:57.799865720+00:00,0,0
2024-02-06T01:34:57.977337880+00:00,1,0
2024-02-06T01:34:57.977387880+00:00,0,0
2024-02-06T01:34:57.999867900+00:00,0,1
2024-02-06T01:34:57.999868980+00:00,0,0
2024-02-06T01:34:58.177337240+00:00,1,0
2024-02-06T01:34:58.177387240+00:00,0,0
2024-02-06T01:34:58.199871160+00:00,0,1
2024-02-06T01:34:58.199872240+00:00,0,0
2024-02-06T01:34:58.377336600+00:00,1,0
2024-02-06T01:34:58.377386600+00:00,0,0
2024-02-06T01:34:58.399872560+00:00,0,1
2024-02-06T01:34:58.399873640+00:00,0,0
2024-02-06T01:34:58.577335940+00:00,1,0
2024-02-06T01:34:58.577385960+00:00,0,0
2024-02-06T01:34:58.599876600+00:00,0,1
2024-02-06T01:34:58.599877680+00:00,0,0
2024-02-06T01:34:58.777335300+00:00,1,0
2024-02-06T01:34:58.777385320+00:00,0,0
2024-02-06T01:34:58.799878920+00:00,0,1
2024-02-06T01:34:58.799880000+00:00,0,0
2024-02-06T01:34:58.977334660+00:00,1,0
2024-02-06T01:34:58.977384680+00:00,0,0
2024-02-06T01:34:58.999881860+00:00,0,1
2024-02-06T01:34:58.999882940+00:00,0,0
2024-02-06T01:34:59.177334020+00:00,1,0
2024-02-06T01:34:59.177384040+00:00,0,0
2024-02-06T01:34:59.199884320+00:00,0,1
2024-02-06T01:34:59.199885400+00:00,0,0
2024-02-06T01:34:59.377333380+00:00,1,0
2024-02-06T01:34:59.377383400+00:00,0,0
2024-02-06T01:34:59.399887380+00:00,0,1
2024-02-06T01:34:59.399888460+00:00,0,0
2024-02-06T01:34:59.577332740+00:00,1,0
2024-02-06T01:34:59.577382740+00:00,0,0
2024-02-06T01:34:59.599890620+00:00,0,1
2024-02-06T01:34:59.599891700+00:00,0,0
2024-02-06T01:34:59.777332100+00:00,1,0
2024-02-06T01:34:59.777382100+00:00,0,0
2024-02-06T01:34:59.799891680+00:00,0,1
2024-02-06T01:34:59.799892760+00:00,0,0
2024-02-06T01:34:59.977331460+00:00,1,0
2024-02-06T01:34:59.977381460+00:00,0,0
2024-02-06T01:34:59.999895560+00:00,0,1
2024-02-06T01:34:59.999896640+00:00,0,0
2024-02-06T01:35:00.177330820+00:00,1,0
2024-02-06T01:35:00.177380820+00:00,0,0
2024-02-06T01:35:00.199898660+00:00,0,1
2024-02-06T01:35:00.199899740+00:00,0,0
2024-02-06T01:35:00.377330160+00:00,1,0
2024-02-06T01:35:00.377380180+00:00,0,0
2024-02-06T01:35:00.399900340+00:00,0,1
2024-02-06T01:35:00.399901420+00:00,0,0
2024-02-06T01:35:00.577329520+00:00,1,0
2024-02-06T01:35:00.577379540+00:00,0,0
2024-02-06T01:35:00.599904000+00:00,0,1
2024-02-06T01:35:00.599905080+00:00,0,0
2024-02-06T01:35:00.777328880+00:00,1,0
2024-02-06T01:35:00.777378900+00:00,0,0
2024-02-06T01:35:00.799905920+00:00,0,1
2024-02-06T01:35:00.799907000+00:00,0,0
2024-02-06T01:35:00.977328240+00:00,1,0
2024-02-06T01:35:00.977378260+00:00,0,0
2024-02-06T01:35:00.999909440+00:00,0,1
2024-02-06T01:35:00.999910520+00:00,0,0
2024-02-06T01:35:01.177327600+00:00,1,0
2024-02-06T01:35:01.177377600+00:00,0,0
2024-02-06T01:35:01.199912780+00:00,0,1
2024-02-06T01:35:01.199913860+00:00,0,0
2024-02-06T01:35:01.377326960+00:00,1,0
2024-02-06T01:35:01.377376960+00:00,0,0
2024-02-06T01:35:01.399915160+00:00,0,1
2024-02-06T01:35:01.399916240+00:00,0,0
2024-02-06T01:35:01.577326320+00:00,1,0
2024-02-06T01:35:01.577376320+00:00,0,0
2024-02-06T01:35:01.599918640+00:00,0,1
2024-02-06T01:35:01.599919720+00:00,0,0
2024-02-06T01:35:01.777325680+00:00,1,0
2024-02-06T01:35:01.777375680+00:00,0,0
2024-02-06T01:35:01.799921280+00:00,0,1
2024-02-06T01:35:01.799922360+00:00,0,0
2024-02-06T01:35:01.977325020+00:00,1,0
2024-02-06T01:35:01.977375040+00:00,0,0
2024-02-06T01:35:01.999923600+00:00,0,1
2024-02-06T01:35:01.999924680+00:00,0,0
2024-02-06T01:35:02.177324380+00:00,1,0
2024-02-06T01:35:02.177374400+00:00,0,0
2024-02-06T01:35:02.199926500+00:00,0,1
2024-02-06T01:35:02.199927580+00:00,0,0
2024-02-06T01:35:02.377323740+00:00,1,0
2024-02-06T01:35:02.377373760+00:00,0,0
2024-02-06T01:35:02.399929460+00:00,0,1
2024-02-06T01:35:02.399930540+00:00,0,0
2024-02-06T01:35:02.577323100+00:00,1,0
2024-02-06T01:35:02.577373100+00:00,0,0
2024-02-06T01:35:02.599932100+00:00,0,1
2024-02-06T01:35:02.599933180+00:00,0,0
2024-02-06T01:35:02.777322460+00:00,1,0
2024-02-06T01:35:02.777372460+00:00,0,0
2024-02-06T01:35:02.799934940+00:00,0,1
2024-02-06T01:35:02.799936020+00:00,0,0
2024-02-06T01:35:02.977321820+00:00,1,0
2024-02-06T01:35:02.977371820+00:00,0,0
2024-02-06T01:35:02.999938140+00:00,0,1
2024-02-06T01:35:02.999939220+00:00,0,0
2024-02-06T01:35:03.177321180+00:00,1,0
2024-02-06T01:35:03.177371180+00:00,0,0
2024-02-06T01:35:03.199940420+00:00,0,1
2024-02-06T01:35:03.199941500+00:00,0,0
2024-02-06T01:35:03.377320520+00:00,1,0
2024-02-06T01:35:03.377370540+00:00,0,0
2024-02-06T01:35:03.399942960+00:00,0,1
2024-02-06T01:35:03.399944040+00:00,0,0
2024-02-06T01:35:03.577319880+00:00,1,0
2024-02-06T01:35:03.577369900+00:00,0,0
2024-02-06T01:35:03.599946620+00:00,0,1
2024-02-06T01:35:03.599947700+00:00,0,0
2024-02-06T01:35:03.777319240+00:00,1,0
2024-02-06T01:35:03.777369260+00:00,0,0
2024-02-06T01:35:03.799948420+00:00,0,1
2024-02-06T01:35:03.799949480+00:00,0,0
2024-02-06T01:35:03.977318600+00:00,1,0
2024-02-06T01:35:03.977368600+00:00,0,0
2024-02-06T01:35:03.999951500+00:00,0,1
2024-02-06T01:35:03.999952580+00:00,0,0
2024-02-06T01:35:04.177317960+00:00,1,0
2024-02-06T01:35:04.177367960+00:00,0,0
2024-02-06T01:35:04.199954600+00:00,0,1
2024-02-06T01:35:04.199955680+00:00,0,0
2024-02-06T01:35:04.377317320+00:00,1,0
2024-02-06T01:35:04.377367320+00:00,0,0
2024-02-06T01:35:04.399956600+00:00,0,1
2024-02-06T01:35:04.399957680+00:00,0,0
2024-02-06T01:35:04.577316660+00:00,1,0
2024-02-06T01:35:04.577366680+00:00,0,0
2024-02-06T01:35:04.599960820+00:00,0,1
2024-02-06T01:35:04.599961900+00:00,0,0
2024-02-06T01:35:04.777316020+00:00,1,0
2024-02-06T01:35:04.777366040+00:00,0,0
2024-02-06T01:35:04.799961980+00:00,0,1
2024-02-06T01:35:04.799963060+00:00,0,0
2024-02-06T01:35:04.977315380+00:00,1,0
2024-02-06T01:35:04.977365380+00:00,0,0
2024-02-06T01:35:04.999965840+00:00,0,1
2024-02-06T01:35:04.999966920+00:00,0,0
2024-02-06T01:35:05.177314740+00:00,1,0
2024-02-06T01:35:05.177364740+00:00,0,0
2024-02-06T01:35:05.199968420+00:00,0,1
2024-02-06T01:35:05.199969500+00:00,0,0
2024-02-06T01:35:05.377314100+00:00,1,0
2024-02-06T01:35:05.377364100+00:00,0,0
2024-02-06T01:35:05.399971100+00:00,0,1
2024-02-06T01:35:05.399972180+00:00,0,0
2024-02-06T01:35:05.577313440+00:00,1,0
2024-02-06T01:35:05.577363460+00:00,0,0
2024-02-06T01:35:05.599974940+00:00,0,1
2024-02-06T01:35:05.599976020+00:00,0,0
2024-02-06T01:35:05.777312800+00:00,1,0
2024-02-06T01:35:05.777362820+00:00,0,0
2024-02-06T01:35:05.799976360+00:00,0,1
2024-02-06T01:35:05.799977420+00:00,0,0
2024-02-06T01:35:05.977312160+00:00,1,0
2024-02-06T01:35:05.977362180+00:00,0,0
2024-02-06T01:35:05.999979680+00:00,0,1
2024-02-06T01:35:05.999980760+00:00,0,0
2024-02-06T01:35:06.177311520+00:00,1,0
2024-02-06T01:35:06.177361520+00:00,0,0
2024-02-06T01:35:06.199982100+00:00,0,1
2024-02-06T01:35:06.199983180+00:00,0,0
2024-02-06T01:35:06.377310880+00:00,1,0
