Time [s],Channel 0,Channel 1
2024-02-06T01:40:31.693875000+00:00,0,0
2024-02-06T01:40:31.774071820+00:00,1,0
2024-02-06T01:40:31.774121820+00:00,0,0
2024-02-06T01:40:31.777633240+00:00,0,1
2024-02-06T01:40:31.777634320+00:00,0,0
2024-02-06T01:40:31.974071160+00:00,1,0
2024-02-06T01:40:31.974121180+00:00,0,0
2024-02-06T01:40:31.977636240+00:00,0,1
2024-02-06T01:40:31.977637340+00:00,0,0
2024-02-06T01:40:32.174070520+00:00,1,0
2024-02-06T01:40:32.174120520+00:00,0,0
2024-02-06T01:40:32.177638140+00:00,0,1
2024-02-06T01:40:32.177639220+00:00,0,0
2024-02-06T01:40:32.374069860+00:00,1,0
2024-02-06T01:40:32.374119880+00:00,0,0
2024-02-06T01:40:32.377641220+00:00,0,1
2024-02-06T01:40:32.377642300+00:00,0,0
2024-02-06T01:40:32.574069220+00:00,1,0
2024-02-06T01:40:32.574119220+00:00,0,0
2024-02-06T01:40:32.577643780+00:00,0,1
2024-02-06T01:40:32.577644860+00:00,0,0
2024-02-06T01:40:32.774068560+00:00,1,0
2024-02-06T01:40:32.774118580+00:00,0,0
2024-02-06T01:40:32.777646240+00:00,0,1
2024-02-06T01:40:32.777647320+00:00,0,0
2024-02-06T01:40:32.974067920+00:00,1,0
2024-02-06T01:40:32.974117920+00:00,0,0
2024-02-06T01:40:32.977649440+00:00,0,1
2024-02-06T01:40:32.977650520+00:00,0,0
2024-02-06T01:40:33.174067260+00:00,1,0
2024-02-06T01:40:33.174117260+00:00,0,0
2024-02-06T01:40:33.177651980+00:00,0,1
2024-02-06T01:40:33.177653060+00:00,0,0
2024-02-06T01:40:33.374066600+00:00,1,0
2024-02-06T01:40:33.374116620+00:00,0,0
2024-02-06T01:40:33.377655300+00:00,0,1
2024-02-06T01:40:33.377656380+00:00,0,0
2024-02-06T01:40:33.574065960+00:00,1,0
2024-02-06T01:40:33.574115960+00:00,0,0
2024-02-06T01:40:33.577659220+00:00,0,1
2024-02-06T01:40:33.577660300+00:00,0,0
2024-02-06T01:40:33.774065300+00:00,1,0
2024-02-06T01:40:33.774115320+00:00,0,0
2024-02-06T01:40:33.777660360+00:00,0,1
2024-02-06T01:40:33.777661440+00:00,0,0
2024-02-06T01:40:33.974064660+00:00,1,0
2024-02-06T01:40:33.974114660+00:00,0,0
2024-02-06T01:40:33.977664460+00:00,0,1
2024-02-06T01:40:33.977665540+00:00,0,0
2024-02-06T01:40:34.174064000+00:00,1,0
2024-02-06T01:40:34.174114020+00:00,0,0
2024-02-06T01:40:34.177666560+00:00,0,1
2024-02-06T01:40:34.177667640+00:00,0,0
2024-02-06T01:40:34.374063360+00:00,1,0
2024-02-06T01:40:34.374113360+00:00,0,0
2024-02-06T01:40:34.377668960+00:00,0,1
2024-02-06T01:40:34.377670040+00:00,0,0
2024-02-06T01:40:34.574062700+00:00,1,0
2024-02-06T01:40:34.574112720+00:00,0,0
2024-02-06T01:40:34.577673060+00:00,0,1
2024-02-06T01:40:34.577674140+00:00,0,0
2024-02-06T01:40:34.774062060+00:00,1,0
2024-02-06T01:40:34.774112060+00:00,0,0
2024-02-06T01:40:34.777674880+00:00,0,1
2024-02-06T01:40:34.777675960+00:00,0,0
2024-02-06T01:40:34.974061400+00:00,1,0
2024-02-06T01:40:34.974111420+00:00,0,0
2024-02-06T01:40:34.977678160+00:00,0,1
2024-02-06T01:40:34.977679220+00:00,0,0
2024-02-06T01:40:35.174060760+00:00,1,0
2024-02-06T01:40:35.174110760+00:00,0,0
2024-02-06T01:40:35.177680880+00:00,0,1
2024-02-06T01:40:35.177681960+00:00,0,0
2024-02-06T01:40:35.374060100+00:00,1,0
2024-02-06T01:40:35.374110100+00:00,0,0
2024-02-06T01:40:35.377683880+00:00,0,1
2024-02-06T01:40:35.377684960+00:00,0,0
2024-02-06T01:40:35.574059440+00:00,1,0
2024-02-06T01:40:35.574109460+00:00,0,0
2024-02-06T01:40:35.577686980+00:00,0,1
2024-02-06T01:40:35.577688060+00:00,0,0
2024-02-06T01:40:35.774058800+00:00,1,0
2024-02-06T01:40:35.774108800+00:00,0,0
2024-02-06T01:40:35.777688900+00:00,0,1
2024-02-06T01:40:35.777689980+00:00,0,0
2024-02-06T01:40:35.974058140+00:00,1,0
2024-02-06T01:40:35.974108160+00:00,0,0
2024-02-06T01:40:35.977692040+00:00,0,1
2024-02-06T01:40:35.977693120+00:00,0,0
2024-02-06T01:40:36.174057500+00:00,1,0
2024-02-06T01:40:36.174107500+00:00,0,0
2024-02-06T01:40:36.177693980+00:00,0,1
2024-02-06T01:40:36.177695060+00:00,0,0
2024-02-06T01:40:36.374056840+00:00,1,0
2024-02-06T01:40:36.374106860+00:00,0,0
2024-02-06T01:40:36.377697800+00:00,0,1
2024-02-06T01:40:36.377698880+00:00,0,0
2024-02-06T01:40:36.574056200+00:00,1,0
2024-02-06T01:40:36.574106200+00:00,0,0
2024-02-06T01:40:36.577700780+00:00,0,1
2024-02-06T01:40:36.577701860+00:00,0,0
2024-02-06T01:40:36.774055540+00:00,1,0
2024-02-06T01:40:36.774105560+00:00,0,0
2024-02-06T01:40:36.777702020+00:00,0,1
2024-02-06T01:40:36.777703100+00:00,0,0
2024-02-06T01:40:36.974054900+00:00,1,0
2024-02-06T01:40:36.974104900+00:00,0,0
2024-02-06T01:40:36.977706240+00:00,0,1
2024-02-06T01:40:36.977707320+00:00,0,0
2024-02-06T01:40:37.174054240+00:00,1,0
2024-02-06T01:40:37.174104240+00:00,0,0
2024-02-06T01:40:37.177708620+00:00,0,1
2024-02-06T01:40:37.177709700+00:00,0,0
2024-02-06T01:40:37.374053580+00:00,1,0
2024-02-06T01:40:37.374103600+00:00,0,0
2024-02-06T01:40:37.377712120+00:00,0,1
2024-02-06T01:40:37.377713200+00:00,0,0
2024-02-06T01:40:37.574052940+00:00,1,0
2024-02-06T01:40:37.574102940+00:00,0,0
2024-02-06T01:40:37.577715160+00:00,0,1
2024-02-06T01:40:37.577716240+00:00,0,0
2024-02-06T01:40:37.774052280+00:00,1,0
2024-02-06T01:40:37.774102300+00:00,0,0
2024-02-06T01:40:37.777716320+00:00,0,1
2024-02-06T01:40:37.777717400+00:00,0,0
2024-02-06T01:40:37.974051640+00:00,1,0
2024-02-06T01:40:37.974101640+00:00,0,0
2024-02-06T01:40:37.977719780+00:00,0,1
2024-02-06T01:40:37.977720860+00:00,0,0
2024-02-06T01:40:38.174050980+00:00,1,0
2024-02-06T01:40:38.174101000+00:00,0,0
2024-02-06T01:40:38.177721780+00:00,0,1
2024-02-06T01:40:38.177722860+00:00,0,0
2024-02-06T01:40:38.374050340+00:00,1,0
2024-02-06T01:40:38.374100340+00:00,0,0
2024-02-06T01:40:38.377725380+00:00,0,1
2024-02-06T01:40:38.377726460+00:00,0,0
2024-02-06T01:40:38.574049680+00:00,1,0
2024-02-06T01:40:38.574099680+00:00,0,0
2024-02-06T01:40:38.577729200+00:00,0,1
2024-02-06T01:40:38.577730280+00:00,0,0
2024-02-06T01:40:38.774049020+00:00,1,0
2024-02-06T01:40:38.774099040+00:00,0,0
2024-02-06T01:40:38.777730960+00:00,0,1
2024-02-06T01:40:38.777732040+00:00,0,0
2024-02-06T01:40:38.974048380+00:00,1,0
2024-02-06T01:40:38.974098380+00:00,0,0
2024-02-06T01:40:38.977733880+00:00,0,1
2024-02-06T01:40:38.977734960+00:00,0,0
2024-02-06T01:40:39.174047720+00:00,1,0
2024-02-06T01:40:39.174097740+00:00,0,0
2024-02-06T01:40:39.177736360+00:00,0,1
2024-02-06T01:40:39.177737440+00:00,0,0
2024-02-06T01:40:39.374047080+00:00,1,0
2024-02-06T01:40:39.374097080+00:00,0,0
2024-02-06T01:40:39.377739720+00:00,0,1
2024-02-06T01:40:39.377740800+00:00,0,0
2024-02-06T01:40:39.574046420+00:00,1,0
2024-02-06T01:40:39.574096420+00:00,0,0
2024-02-06T01:40:39.577742100+00:00,0,1
2024-02-06T01:40:39.577743180+00:00,0,0
2024-02-06T01:40:39.774045760+00:00,1,0
2024-02-06T01:40:39.774095780+00:00,0,0
2024-02-06T01:40:39.777743980+00:00,0,1
2024-02-06T01:40:39.777745080+00:00,0,0
2024-02-06T01:40:39.974045120+00:00,1,0
2024-02-06T01:40:39.974095120+00:00,0,0
2024-02-06T01:40:39.977749000+00:00,0,1
2024-02-06T01:40:39.977750080+00:00,0,0
2024-02-06T01:40:40.174044460+00:00,1,0
2024-02-06T01:40:40.174094480+00:00,0,0
2024-02-06T01:40:40.177750520+00:00,0,1
2024-02-06T01:40:40.177751600+00:00,0,0
2024-02-06T01:40:40.374043800+00:00,1,0
2024-02-06T01:40:40.374093820+00:00,0,0
2024-02-06T01:40:40.377754040+00:00,0,1
2024-02-06T01:40:40.377755120+00:00,0,0
2024-02-06T01:40:40.574043160+00:00,1,0
2024-02-06T01:40:40.574093160+00:00,0,0
2024-02-06T01:40:40.577756960+00:00,0,1
2024-02-06T01:40:40.577758040+00:00,0,0
2024-02-06T01:40:40.774042500+00:00,1,0
2024-02-06T01:40:40.774092520+00:00,0,0
2024-02-06T01:40:40.777758560+00:00,0,1
2024-02-06T01:40:40.777759640+00:00,0,0
2024-02-06T01:40:40.974041860+00:00,1,0
2024-02-06T01:40:40.974091860+00:00,0,0
2024-02-06T01:40:40.977762820+00:00,0,1
2024-02-06T01:40:40.977763900+00:00,0,0
2024-02-06T01:40:41.174041200+00:00,1,0
2024-02-06T01:40:41.174091200+00:00,0,0
2024-02-06T01:40:41.177764660+00:00,0,1
2024-02-06T01:40:41.177765740+00:00,0,0
2024-02-06T01:40:41.374040540+00:00,1,0
2024-02-06T01:40:41.374090560+00:00,0,0
2024-02-06T01:40:41.377767560+00:00,0,1
2024-02-06T01:40:41.377768640+00:00,0,0
