Time [s],Channel 0,Channel 1
2023-11-30T23:51:42.298166000+00:00,0,0
2023-11-30T23:51:42.415001390+00:00,1,0
2023-11-30T23:51:42.415051430+00:00,0,0
2023-11-30T23:51:42.436389880+00:00,0,1
2023-11-30T23:51:42.436390810+00:00,0,0
2023-11-30T23:51:42.665000640+00:00,1,0
2023-11-30T23:51:42.665050680+00:00,0,0
2023-11-30T23:51:42.686386280+00:00,0,1
2023-11-30T23:51:42.686387210+00:00,0,0
2023-11-30T23:51:42.914999890+00:00,1,0
2023-11-30T23:51:42.915049930+00:00,0,0
2023-11-30T23:51:42.936387670+00:00,0,1
2023-11-30T23:51:42.936388600+00:00,0,0
2023-11-30T23:51:43.164999150+00:00,1,0
2023-11-30T23:51:43.165049190+00:00,0,0
2023-11-30T23:51:43.186387970+00:00,0,1
2023-11-30T23:51:43.186388910+00:00,0,0
2023-11-30T23:51:43.414998400+00:00,1,0
2023-11-30T23:51:43.415048440+00:00,0,0
2023-11-30T23:51:43.436385040+00:00,0,1
2023-11-30T23:51:43.436385970+00:00,0,0
2023-11-30T23:51:43.664997650+00:00,1,0
2023-11-30T23:51:43.665047690+00:00,0,0
2023-11-30T23:51:43.686385360+00:00,0,1
2023-11-30T23:51:43.686386290+00:00,0,0
2023-11-30T23:51:43.914996900+00:00,1,0
2023-11-30T23:51:43.915046940+00:00,0,0
2023-11-30T23:51:43.936386780+00:00,0,1
2023-11-30T23:51:43.936387710+00:00,0,0
2023-11-30T23:51:44.164996150+00:00,1,0
2023-11-30T23:51:44.165046200+00:00,0,0
2023-11-30T23:51:44.186383610+00:00,0,1
2023-11-30T23:51:44.186384540+00:00,0,0
2023-11-30T23:51:44.414995410+00:00,1,0
2023-11-30T23:51:44.415045450+00:00,0,0
2023-11-30T23:51:44.436380680+00:00,0,1
2023-11-30T23:51:44.436381610+00:00,0,0
2023-11-30T23:51:44.664994660+00:00,1,0
2023-11-30T23:51:44.665044700+00:00,0,0
2023-11-30T23:51:44.686381330+00:00,0,1
2023-11-30T23:51:44.686382260+00:00,0,0
2023-11-30T23:51:44.914993910+00:00,1,0
2023-11-30T23:51:44.915043950+00:00,0,0
2023-11-30T23:51:44.936382700+00:00,0,1
2023-11-30T23:51:44.936383630+00:00,0,0
2023-11-30T23:51:45.164993160+00:00,1,0
2023-11-30T23:51:45.165043200+00:00,0,0
2023-11-30T23:51:45.186379350+00:00,0,1
2023-11-30T23:51:45.186380280+00:00,0,0
2023-11-30T23:51:45.414992410+00:00,1,0
2023-11-30T23:51:45.415042460+00:00,0,0
2023-11-30T23:51:45.436380400+00:00,0,1
2023-11-30T23:51:45.436381330+00:00,0,0
2023-11-30T23:51:45.664991670+00:00,1,0
2023-11-30T23:51:45.665041710+00:00,0,0
2023-11-30T23:51:45.686381040+00:00,0,1
2023-11-30T23:51:45.686381970+00:00,0,0
2023-11-30T23:51:45.914990920+00:00,1,0
2023-11-30T23:51:45.915040960+00:00,0,0
2023-11-30T23:51:45.936378230+00:00,0,1
2023-11-30T23:51:45.936379160+00:00,0,0
2023-11-30T23:51:46.164990170+00:00,1,0
2023-11-30T23:51:46.165040210+00:00,0,0
2023-11-30T23:51:46.186378860+00:00,0,1
2023-11-30T23:51:46.186379790+00:00,0,0
2023-11-30T23:51:46.414989420+00:00,1,0
2023-11-30T23:51:46.415039460+00:00,0,0
2023-11-30T23:51:46.436379960+00:00,0,1
2023-11-30T23:51:46.436380890+00:00,0,0
2023-11-30T23:51:46.664988680+00:00,1,0
2023-11-30T23:51:46.665038710+00:00,0,0
2023-11-30T23:51:46.686376610+00:00,0,1
2023-11-30T23:51:46.686377540+00:00,0,0
2023-11-30T23:51:46.914987930+00:00,1,0
2023-11-30T23:51:46.915037970+00:00,0,0
2023-11-30T23:51:46.936373810+00:00,0,1
2023-11-30T23:51:46.936374740+00:00,0,0
2023-11-30T23:51:47.164987180+00:00,1,0
2023-11-30T23:51:47.165037220+00:00,0,0
2023-11-30T23:51:47.186374450+00:00,0,1
2023-11-30T23:51:47.186375380+00:00,0,0
2023-11-30T23:51:47.414986430+00:00,1,0
2023-11-30T23:51:47.415036470+00:00,0,0
2023-11-30T23:51:47.436375510+00:00,0,1
2023-11-30T23:51:47.436376440+00:00,0,0
2023-11-30T23:51:47.664985680+00:00,1,0
2023-11-30T23:51:47.665035720+00:00,0,0
2023-11-30T23:51:47.686372160+00:00,0,1
2023-11-30T23:51:47.686373090+00:00,0,0
2023-11-30T23:51:47.914984930+00:00,1,0
2023-11-30T23:51:47.915034970+00:00,0,0
2023-11-30T23:51:47.936373580+00:00,0,1
2023-11-30T23:51:47.936374520+00:00,0,0
2023-11-30T23:51:48.164984180+00:00,1,0
2023-11-30T23:51:48.165034220+00:00,0,0
2023-11-30T23:51:48.186370320+00:00,0,1
2023-11-30T23:51:48.186371250+00:00,0,0
2023-11-30T23:51:48.414983430+00:00,1,0
2023-11-30T23:51:48.415033470+00:00,0,0
2023-11-30T23:51:48.436371700+00:00,0,1
2023-11-30T23:51:48.436372630+00:00,0,0
2023-11-30T23:51:48.664982680+00:00,1,0
2023-11-30T23:51:48.665032720+00:00,0,0
2023-11-30T23:51:48.686368030+00:00,0,1
2023-11-30T23:51:48.686368960+00:00,0,0
2023-11-30T23:51:48.914981930+00:00,1,0
2023-11-30T23:51:48.915031970+00:00,0,0
2023-11-30T23:51:48.936373390+00:00,0,1
2023-11-30T23:51:48.936374320+00:00,0,0
