Time [s],Channel 0,Channel 1
2023-12-01T01:35:29.911933000+00:00,0,0
2023-12-01T01:35:30.389118200+00:00,1,0
2023-12-01T01:35:30.389218200+00:00,0,0
2023-12-01T01:35:35.830296870+00:00,0,1
2023-12-01T01:35:35.830299000+00:00,0,0
2023-12-01T01:35:36.889103620+00:00,1,0
2023-12-01T01:35:36.889203630+00:00,0,0
2023-12-01T01:35:42.330286700+00:00,0,1
2023-12-01T01:35:42.330288820+00:00,0,0
2023-12-01T01:35:43.389088990+00:00,1,0
2023-12-01T01:35:43.389188990+00:00,0,0
2023-12-01T01:35:48.830277140+00:00,0,1
2023-12-01T01:35:48.830279270+00:00,0,0
2023-12-01T01:35:49.889074300+00:00,1,0
2023-12-01T01:35:49.889174310+00:00,0,0
2023-12-01T01:35:55.330250660+00:00,0,1
2023-12-01T01:35:55.330252780+00:00,0,0
2023-12-01T01:35:56.389059580+00:00,1,0
2023-12-01T01:35:56.389159590+00:00,0,0
2023-12-01T01:36:01.830241230+00:00,0,1
2023-12-01T01:36:01.830243350+00:00,0,0
2023-12-01T01:36:02.889044830+00:00,1,0
2023-12-01T01:36:02.889144840+00:00,0,0
2023-12-01T01:36:08.330214930+00:00,0,1
2023-12-01T01:36:08.330217060+00:00,0,0
2023-12-01T01:36:09.389030070+00:00,1,0
2023-12-01T01:36:09.389130080+00:00,0,0
2023-12-01T01:36:14.830205240+00:00,0,1
2023-12-01T01:36:14.830207370+00:00,0,0
2023-12-01T01:36:15.889015300+00:00,1,0
2023-12-01T01:36:15.889115300+00:00,0,0
2023-12-01T01:36:21.330194720+00:00,0,1
2023-12-01T01:36:21.330196840+00:00,0,0
2023-12-01T01:36:22.389000510+00:00,1,0
2023-12-01T01:36:22.389100510+00:00,0,0
2023-12-01T01:36:27.830169320+00:00,0,1
2023-12-01T01:36:27.830171440+00:00,0,0
2023-12-01T01:36:28.888985700+00:00,1,0
2023-12-01T01:36:28.889085700+00:00,0,0
2023-12-01T01:36:34.330158750+00:00,0,1
2023-12-01T01:36:34.330160880+00:00,0,0
2023-12-01T01:36:35.388970880+00:00,1,0
2023-12-01T01:36:35.389070880+00:00,0,0
2023-12-01T01:36:40.830149010+00:00,0,1
2023-12-01T01:36:40.830151130+00:00,0,0
2023-12-01T01:36:41.888956050+00:00,1,0
2023-12-01T01:36:41.889056060+00:00,0,0
2023-12-01T01:36:47.330122410+00:00,0,1
2023-12-01T01:36:47.330124530+00:00,0,0
2023-12-01T01:36:48.388941210+00:00,1,0
2023-12-01T01:36:48.389041210+00:00,0,0
2023-12-01T01:36:53.830112610+00:00,0,1
2023-12-01T01:36:53.830114740+00:00,0,0
2023-12-01T01:36:54.888926350+00:00,1,0
2023-12-01T01:36:54.889026350+00:00,0,0
2023-12-01T01:37:00.330101980+00:00,0,1
2023-12-01T01:37:00.330104110+00:00,0,0
2023-12-01T01:37:01.388911480+00:00,1,0
2023-12-01T01:37:01.389011480+00:00,0,0
2023-12-01T01:37:06.830092460+00:00,0,1
2023-12-01T01:37:06.830094590+00:00,0,0
2023-12-01T01:37:07.888896600+00:00,1,0
2023-12-01T01:37:07.888996600+00:00,0,0
2023-12-01T01:37:13.330065830+00:00,0,1
2023-12-01T01:37:13.330067960+00:00,0,0
2023-12-01T01:37:14.388881710+00:00,1,0
2023-12-01T01:37:14.388981720+00:00,0,0
2023-12-01T01:37:19.830056060+00:00,0,1
2023-12-01T01:37:19.830058180+00:00,0,0
2023-12-01T01:37:20.888866820+00:00,1,0
2023-12-01T01:37:20.888966830+00:00,0,0
2023-12-01T01:37:26.330045520+00:00,0,1
2023-12-01T01:37:26.330047650+00:00,0,0
2023-12-01T01:37:27.388851910+00:00,1,0
2023-12-01T01:37:27.388951920+00:00,0,0
2023-12-01T01:37:32.830019820+00:00,0,1
2023-12-01T01:37:32.830021940+00:00,0,0
2023-12-01T01:37:33.888836990+00:00,1,0
2023-12-01T01:37:33.888937000+00:00,0,0
2023-12-01T01:37:39.330009310+00:00,0,1
2023-12-01T01:37:39.330011430+00:00,0,0
2023-12-01T01:37:40.388822070+00:00,1,0
2023-12-01T01:37:40.388922070+00:00,0,0
2023-12-01T01:37:45.829999620+00:00,0,1
2023-12-01T01:37:45.830001750+00:00,0,0
2023-12-01T01:37:46.888807130+00:00,1,0
2023-12-01T01:37:46.888907130+00:00,0,0
2023-12-01T01:37:52.329973010+00:00,0,1
2023-12-01T01:37:52.329975140+00:00,0,0
2023-12-01T01:37:53.388792170+00:00,1,0
2023-12-01T01:37:53.388892180+00:00,0,0
2023-12-01T01:37:58.829963220+00:00,0,1
2023-12-01T01:37:58.829965350+00:00,0,0
2023-12-01T01:37:59.888777220+00:00,1,0
2023-12-01T01:37:59.888877230+00:00,0,0
2023-12-01T01:38:05.329952600+00:00,0,1
2023-12-01T01:38:05.329954720+00:00,0,0
2023-12-01T01:38:06.388762250+00:00,1,0
2023-12-01T01:38:06.388862260+00:00,0,0
2023-12-01T01:38:11.829943120+00:00,0,1
2023-12-01T01:38:11.829945250+00:00,0,0
2023-12-01T01:38:12.888747270+00:00,1,0
2023-12-01T01:38:12.888847280+00:00,0,0
2023-12-01T01:38:18.329916560+00:00,0,1
2023-12-01T01:38:18.329918680+00:00,0,0
2023-12-01T01:38:19.388732280+00:00,1,0
2023-12-01T01:38:19.388832290+00:00,0,0
2023-12-01T01:38:24.829906770+00:00,0,1
2023-12-01T01:38:24.829908890+00:00,0,0
2023-12-01T01:38:25.888717280+00:00,1,0
2023-12-01T01:38:25.888817280+00:00,0,0
2023-12-01T01:38:31.329896310+00:00,0,1
2023-12-01T01:38:31.329898430+00:00,0,0
2023-12-01T01:38:32.388702270+00:00,1,0
2023-12-01T01:38:32.388802270+00:00,0,0
2023-12-01T01:38:37.829870620+00:00,0,1
2023-12-01T01:38:37.829872740+00:00,0,0
2023-12-01T01:38:38.888687260+00:00,1,0
2023-12-01T01:38:38.888787260+00:00,0,0
2023-12-01T01:38:44.329859960+00:00,0,1
2023-12-01T01:38:44.329862090+00:00,0,0
2023-12-01T01:38:45.388672230+00:00,1,0
2023-12-01T01:38:45.388772240+00:00,0,0
2023-12-01T01:38:50.829850340+00:00,0,1
2023-12-01T01:38:50.829852470+00:00,0,0
2023-12-01T01:38:51.888657190+00:00,1,0
2023-12-01T01:38:51.888757200+00:00,0,0
2023-12-01T01:38:57.329823820+00:00,0,1
2023-12-01T01:38:57.329825950+00:00,0,0
2023-12-01T01:38:58.388642150+00:00,1,0
2023-12-01T01:38:58.388742150+00:00,0,0
2023-12-01T01:39:03.829813980+00:00,0,1
2023-12-01T01:39:03.829816110+00:00,0,0
2023-12-01T01:39:04.888627100+00:00,1,0
2023-12-01T01:39:04.888727100+00:00,0,0
2023-12-01T01:39:10.329803290+00:00,0,1
2023-12-01T01:39:10.329805410+00:00,0,0
2023-12-01T01:39:11.388612030+00:00,1,0
2023-12-01T01:39:11.388712040+00:00,0,0
2023-12-01T01:39:16.829777440+00:00,0,1
2023-12-01T01:39:16.829779570+00:00,0,0
2023-12-01T01:39:17.888596970+00:00,1,0
2023-12-01T01:39:17.888696970+00:00,0,0
2023-12-01T01:39:23.329766710+00:00,0,1
2023-12-01T01:39:23.329768840+00:00,0,0
2023-12-01T01:39:24.388581890+00:00,1,0
2023-12-01T01:39:24.388681890+00:00,0,0
2023-12-01T01:39:29.829756840+00:00,0,1
2023-12-01T01:39:29.829758970+00:00,0,0
2023-12-01T01:39:30.888566800+00:00,1,0
2023-12-01T01:39:30.888666810+00:00,0,0
2023-12-01T01:39:36.329730150+00:00,0,1
2023-12-01T01:39:36.329732270+00:00,0,0
2023-12-01T01:39:37.388551710+00:00,1,0
2023-12-01T01:39:37.388651720+00:00,0,0
2023-12-01T01:39:42.829720220+00:00,0,1
2023-12-01T01:39:42.829722350+00:00,0,0
2023-12-01T01:39:43.888536620+00:00,1,0
2023-12-01T01:39:43.888636620+00:00,0,0
2023-12-01T01:39:49.329709450+00:00,0,1
2023-12-01T01:39:49.329711580+00:00,0,0
2023-12-01T01:39:50.388521510+00:00,1,0
2023-12-01T01:39:50.388621520+00:00,0,0
2023-12-01T01:39:55.829683500+00:00,0,1
2023-12-01T01:39:55.829685620+00:00,0,0
2023-12-01T01:39:56.888506400+00:00,1,0
2023-12-01T01:39:56.888606410+00:00,0,0
2023-12-01T01:40:02.329672690+00:00,0,1
2023-12-01T01:40:02.329674820+00:00,0,0
2023-12-01T01:40:03.388491280+00:00,1,0
2023-12-01T01:40:03.388591290+00:00,0,0
2023-12-01T01:40:08.829663020+00:00,0,1
2023-12-01T01:40:08.829665140+00:00,0,0
2023-12-01T01:40:09.888476150+00:00,1,0
2023-12-01T01:40:09.888576160+00:00,0,0
2023-12-01T01:40:15.329652460+00:00,0,1
2023-12-01T01:40:15.329654590+00:00,0,0
2023-12-01T01:40:16.388461020+00:00,1,0
2023-12-01T01:40:16.388561020+00:00,0,0
2023-12-01T01:40:21.829626500+00:00,0,1
2023-12-01T01:40:21.829628630+00:00,0,0
2023-12-01T01:40:22.888445880+00:00,1,0
2023-12-01T01:40:22.888545880+00:00,0,0
2023-12-01T01:40:28.329615490+00:00,0,1
2023-12-01T01:40:28.329617620+00:00,0,0
2023-12-01T01:40:29.388430720+00:00,1,0
2023-12-01T01:40:29.388530730+00:00,0,0
2023-12-01T01:40:34.829605480+00:00,0,1
2023-12-01T01:40:34.829607600+00:00,0,0
2023-12-01T01:40:35.888415570+00:00,1,0
2023-12-01T01:40:35.888515580+00:00,0,0
2023-12-01T01:40:41.329594660+00:00,0,1
2023-12-01T01:40:41.329596790+00:00,0,0
2023-12-01T01:40:42.388400400+00:00,1,0
2023-12-01T01:40:42.388500410+00:00,0,0
