Time [s],Channel 0,Channel 1
2024-02-01T05:41:02.015779000+00:00,0,0
2024-02-01T05:41:02.083139370+00:00,1,0
2024-02-01T05:41:02.083189380+00:00,0,0
2024-02-01T05:41:02.085765790+00:00,0,1
2024-02-01T05:41:02.086378560+00:00,0,0
2024-02-01T05:41:02.183138980+00:00,1,0
2024-02-01T05:41:02.183189000+00:00,0,0
2024-02-01T05:41:02.185645650+00:00,0,1
2024-02-01T05:41:02.186272710+00:00,0,0
2024-02-01T05:41:02.283138600+00:00,1,0
2024-02-01T05:41:02.283188610+00:00,0,0
2024-02-01T05:41:02.285506500+00:00,0,1
2024-02-01T05:41:02.286129780+00:00,0,0
2024-02-01T05:41:02.383138210+00:00,1,0
2024-02-01T05:41:02.383188230+00:00,0,0
2024-02-01T05:41:02.385477720+00:00,0,1
2024-02-01T05:41:02.386032700+00:00,0,0
2024-02-01T05:41:02.483137830+00:00,1,0
2024-02-01T05:41:02.483187840+00:00,0,0
2024-02-01T05:41:02.485424980+00:00,0,1
2024-02-01T05:41:02.485977800+00:00,0,0
2024-02-01T05:41:02.583137440+00:00,1,0
2024-02-01T05:41:02.583187460+00:00,0,0
2024-02-01T05:41:02.585408170+00:00,0,1
2024-02-01T05:41:02.585954220+00:00,0,0
2024-02-01T05:41:02.683137060+00:00,1,0
2024-02-01T05:41:02.683187070+00:00,0,0
2024-02-01T05:41:02.685429480+00:00,0,1
2024-02-01T05:41:02.685985460+00:00,0,0
2024-02-01T05:41:02.783136670+00:00,1,0
2024-02-01T05:41:02.783186690+00:00,0,0
2024-02-01T05:41:02.785497810+00:00,0,1
2024-02-01T05:41:02.786054690+00:00,0,0
2024-02-01T05:41:02.883136290+00:00,1,0
2024-02-01T05:41:02.883186300+00:00,0,0
2024-02-01T05:41:02.885600980+00:00,0,1
2024-02-01T05:41:02.886228300+00:00,0,0
2024-02-01T05:41:02.983135900+00:00,1,0
2024-02-01T05:41:02.983185920+00:00,0,0
2024-02-01T05:41:02.985459280+00:00,0,1
2024-02-01T05:41:02.986018330+00:00,0,0
2024-02-01T05:41:03.083135510+00:00,1,0
2024-02-01T05:41:03.083185530+00:00,0,0
2024-02-01T05:41:03.085656130+00:00,0,1
2024-02-01T05:41:03.086282730+00:00,0,0
2024-02-01T05:41:03.183135130+00:00,1,0
2024-02-01T05:41:03.183185150+00:00,0,0
2024-02-01T05:41:03.185522690+00:00,0,1
2024-02-01T05:41:03.186082840+00:00,0,0
2024-02-01T05:41:03.283134740+00:00,1,0
2024-02-01T05:41:03.283184760+00:00,0,0
2024-02-01T05:41:03.285387990+00:00,0,1
2024-02-01T05:41:03.285942640+00:00,0,0
2024-02-01T05:41:03.383134360+00:00,1,0
2024-02-01T05:41:03.383184370+00:00,0,0
2024-02-01T05:41:03.385622770+00:00,0,1
2024-02-01T05:41:03.386258380+00:00,0,0
2024-02-01T05:41:03.483133970+00:00,1,0
2024-02-01T05:41:03.483183990+00:00,0,0
2024-02-01T05:41:03.485586470+00:00,0,1
2024-02-01T05:41:03.486209700+00:00,0,0
2024-02-01T05:41:03.583133590+00:00,1,0
2024-02-01T05:41:03.583183600+00:00,0,0
2024-02-01T05:41:03.585537660+00:00,0,1
2024-02-01T05:41:03.586169750+00:00,0,0
2024-02-01T05:41:03.683133200+00:00,1,0
2024-02-01T05:41:03.683183220+00:00,0,0
2024-02-01T05:41:03.685441860+00:00,0,1
2024-02-01T05:41:03.686003040+00:00,0,0
2024-02-01T05:41:03.783132820+00:00,1,0
2024-02-01T05:41:03.783182830+00:00,0,0
2024-02-01T05:41:03.785418940+00:00,0,1
2024-02-01T05:41:03.785975630+00:00,0,0
2024-02-01T05:41:03.883132430+00:00,1,0
2024-02-01T05:41:03.883182450+00:00,0,0
2024-02-01T05:41:03.885422720+00:00,0,1
2024-02-01T05:41:03.885982700+00:00,0,0
2024-02-01T05:41:03.983132050+00:00,1,0
2024-02-01T05:41:03.983182060+00:00,0,0
2024-02-01T05:41:03.985438810+00:00,0,1
2024-02-01T05:41:03.986003340+00:00,0,0
2024-02-01T05:41:04.083131660+00:00,1,0
2024-02-01T05:41:04.083181680+00:00,0,0
2024-02-01T05:41:04.085510170+00:00,0,1
2024-02-01T05:41:04.086065720+00:00,0,0
2024-02-01T05:41:04.183131280+00:00,1,0
2024-02-01T05:41:04.183181290+00:00,0,0
2024-02-01T05:41:04.185571170+00:00,0,1
2024-02-01T05:41:04.186141360+00:00,0,0
2024-02-01T05:41:04.283130890+00:00,1,0
2024-02-01T05:41:04.283180910+00:00,0,0
2024-02-01T05:41:04.285431260+00:00,0,1
2024-02-01T05:41:04.286036640+00:00,0,0
2024-02-01T05:41:04.383130510+00:00,1,0
2024-02-01T05:41:04.383180520+00:00,0,0
2024-02-01T05:41:04.385456180+00:00,0,1
2024-02-01T05:41:04.386018790+00:00,0,0
2024-02-01T05:41:04.483130120+00:00,1,0
2024-02-01T05:41:04.483180140+00:00,0,0
2024-02-01T05:41:04.485415900+00:00,0,1
2024-02-01T05:41:04.485979750+00:00,0,0
2024-02-01T05:41:04.583129730+00:00,1,0
2024-02-01T05:41:04.583179750+00:00,0,0
2024-02-01T05:41:04.585485690+00:00,0,1
2024-02-01T05:41:04.586045060+00:00,0,0
2024-02-01T05:41:04.683129350+00:00,1,0
2024-02-01T05:41:04.683179370+00:00,0,0
2024-02-01T05:41:04.685408550+00:00,0,1
2024-02-01T05:41:04.685966080+00:00,0,0
2024-02-01T05:41:04.783128960+00:00,1,0
2024-02-01T05:41:04.783178980+00:00,0,0
2024-02-01T05:41:04.785415510+00:00,0,1
2024-02-01T05:41:04.785975360+00:00,0,0
2024-02-01T05:41:04.883128580+00:00,1,0
2024-02-01T05:41:04.883178590+00:00,0,0
2024-02-01T05:41:04.885435930+00:00,0,1
2024-02-01T05:41:04.885999550+00:00,0,0
2024-02-01T05:41:04.983128190+00:00,1,0
2024-02-01T05:41:04.983178210+00:00,0,0
2024-02-01T05:41:04.985408960+00:00,0,1
2024-02-01T05:41:04.985968360+00:00,0,0
2024-02-01T05:41:05.083127810+00:00,1,0
2024-02-01T05:41:05.083177820+00:00,0,0
2024-02-01T05:41:05.085501890+00:00,0,1
2024-02-01T05:41:05.086054200+00:00,0,0
2024-02-01T05:41:05.183127420+00:00,1,0
2024-02-01T05:41:05.183177440+00:00,0,0
2024-02-01T05:41:05.185518010+00:00,0,1
2024-02-01T05:41:05.186077240+00:00,0,0
2024-02-01T05:41:05.283127040+00:00,1,0
2024-02-01T05:41:05.283177050+00:00,0,0
2024-02-01T05:41:05.285435650+00:00,0,1
2024-02-01T05:41:05.285994640+00:00,0,0
2024-02-01T05:41:05.383126650+00:00,1,0
2024-02-01T05:41:05.383176670+00:00,0,0
2024-02-01T05:41:05.385505780+00:00,0,1
2024-02-01T05:41:05.386061240+00:00,0,0
2024-02-01T05:41:05.483126260+00:00,1,0
2024-02-01T05:41:05.483176280+00:00,0,0
2024-02-01T05:41:05.485455680+00:00,0,1
2024-02-01T05:41:05.486008070+00:00,0,0
2024-02-01T05:41:05.583125880+00:00,1,0
2024-02-01T05:41:05.583175900+00:00,0,0
2024-02-01T05:41:05.585419950+00:00,0,1
2024-02-01T05:41:05.585975810+00:00,0,0
2024-02-01T05:41:05.683125490+00:00,1,0
2024-02-01T05:41:05.683175510+00:00,0,0
2024-02-01T05:41:05.685388960+00:00,0,1
2024-02-01T05:41:05.685942590+00:00,0,0
2024-02-01T05:41:05.783125110+00:00,1,0
2024-02-01T05:41:05.783175120+00:00,0,0
2024-02-01T05:41:05.785466620+00:00,0,1
