Time [s],Channel 0,Channel 1
2024-02-01T06:06:21.580276000+00:00,0,0
2024-02-01T06:06:21.682461320+00:00,1,0
2024-02-01T06:06:21.682511340+00:00,0,0
2024-02-01T06:06:21.688876860+00:00,0,1
2024-02-01T06:06:21.689571570+00:00,0,0
2024-02-01T06:06:21.882460530+00:00,1,0
2024-02-01T06:06:21.882510550+00:00,0,0
2024-02-01T06:06:21.888800840+00:00,0,1
2024-02-01T06:06:21.889353850+00:00,0,0
2024-02-01T06:06:22.082459750+00:00,1,0
2024-02-01T06:06:22.082509760+00:00,0,0
2024-02-01T06:06:22.088868070+00:00,0,1
2024-02-01T06:06:22.089615530+00:00,0,0
2024-02-01T06:06:22.282458960+00:00,1,0
2024-02-01T06:06:22.282508980+00:00,0,0
2024-02-01T06:06:22.288587190+00:00,0,1
2024-02-01T06:06:22.289137300+00:00,0,0
2024-02-01T06:06:22.482458180+00:00,1,0
2024-02-01T06:06:22.482508200+00:00,0,0
2024-02-01T06:06:22.489178610+00:00,0,1
2024-02-01T06:06:22.489892680+00:00,0,0
2024-02-01T06:06:22.682457390+00:00,1,0
2024-02-01T06:06:22.682507410+00:00,0,0
2024-02-01T06:06:22.691127620+00:00,0,1
2024-02-01T06:06:22.691836250+00:00,0,0
2024-02-01T06:06:22.882456610+00:00,1,0
2024-02-01T06:06:22.882506630+00:00,0,0
2024-02-01T06:06:22.893136530+00:00,0,1
2024-02-01T06:06:22.893951430+00:00,0,0
2024-02-01T06:06:23.082455830+00:00,1,0
2024-02-01T06:06:23.082505840+00:00,0,0
2024-02-01T06:06:23.089699790+00:00,0,1
2024-02-01T06:06:23.090342120+00:00,0,0
2024-02-01T06:06:23.282455040+00:00,1,0
2024-02-01T06:06:23.282505060+00:00,0,0
2024-02-01T06:06:23.288805780+00:00,0,1
2024-02-01T06:06:23.289377720+00:00,0,0
2024-02-01T06:06:23.482454260+00:00,1,0
2024-02-01T06:06:23.482504270+00:00,0,0
2024-02-01T06:06:23.488659570+00:00,0,1
2024-02-01T06:06:23.489199910+00:00,0,0
2024-02-01T06:06:23.682453470+00:00,1,0
2024-02-01T06:06:23.682503490+00:00,0,0
2024-02-01T06:06:23.688474230+00:00,0,1
2024-02-01T06:06:23.689092080+00:00,0,0
2024-02-01T06:06:23.882452690+00:00,1,0
2024-02-01T06:06:23.882502700+00:00,0,0
2024-02-01T06:06:23.888856160+00:00,0,1
2024-02-01T06:06:23.889505570+00:00,0,0
2024-02-01T06:06:24.082451900+00:00,1,0
2024-02-01T06:06:24.082501920+00:00,0,0
2024-02-01T06:06:24.088605500+00:00,0,1
2024-02-01T06:06:24.089130100+00:00,0,0
2024-02-01T06:06:24.282451120+00:00,1,0
2024-02-01T06:06:24.282501130+00:00,0,0
2024-02-01T06:06:24.288465110+00:00,0,1
2024-02-01T06:06:24.288997870+00:00,0,0
2024-02-01T06:06:24.482450330+00:00,1,0
2024-02-01T06:06:24.482500350+00:00,0,0
2024-02-01T06:06:24.488622800+00:00,0,1
2024-02-01T06:06:24.489180630+00:00,0,0
2024-02-01T06:06:24.682449550+00:00,1,0
2024-02-01T06:06:24.682499560+00:00,0,0
2024-02-01T06:06:24.688705100+00:00,0,1
2024-02-01T06:06:24.689314320+00:00,0,0
2024-02-01T06:06:24.882448760+00:00,1,0
2024-02-01T06:06:24.882498780+00:00,0,0
2024-02-01T06:06:24.889513820+00:00,0,1
2024-02-01T06:06:24.890048570+00:00,0,0
2024-02-01T06:06:25.082447980+00:00,1,0
2024-02-01T06:06:25.082497990+00:00,0,0
2024-02-01T06:06:25.088145520+00:00,0,1
2024-02-01T06:06:25.088743540+00:00,0,0
2024-02-01T06:06:25.282447190+00:00,1,0
2024-02-01T06:06:25.282497210+00:00,0,0
2024-02-01T06:06:25.288503670+00:00,0,1
2024-02-01T06:06:25.289035090+00:00,0,0
2024-02-01T06:06:25.482446410+00:00,1,0
2024-02-01T06:06:25.482496420+00:00,0,0
2024-02-01T06:06:25.486430960+00:00,0,1
2024-02-01T06:06:25.486968570+00:00,0,0
2024-02-01T06:06:25.682445620+00:00,1,0
2024-02-01T06:06:25.682495640+00:00,0,0
2024-02-01T06:06:25.688519550+00:00,0,1
2024-02-01T06:06:25.689048980+00:00,0,0
2024-02-01T06:06:25.882444840+00:00,1,0
2024-02-01T06:06:25.882494850+00:00,0,0
2024-02-01T06:06:25.888840830+00:00,0,1
2024-02-01T06:06:25.889398540+00:00,0,0
2024-02-01T06:06:26.082444050+00:00,1,0
2024-02-01T06:06:26.082494070+00:00,0,0
2024-02-01T06:06:26.088653150+00:00,0,1
2024-02-01T06:06:26.089270610+00:00,0,0
2024-02-01T06:06:26.282443270+00:00,1,0
2024-02-01T06:06:26.282493280+00:00,0,0
2024-02-01T06:06:26.288859690+00:00,0,1
2024-02-01T06:06:26.289393320+00:00,0,0
2024-02-01T06:06:26.482442480+00:00,1,0
2024-02-01T06:06:26.482492500+00:00,0,0
2024-02-01T06:06:26.492191590+00:00,0,1
2024-02-01T06:06:26.492800000+00:00,0,0
2024-02-01T06:06:26.682441700+00:00,1,0
2024-02-01T06:06:26.682491710+00:00,0,0
2024-02-01T06:06:26.688860610+00:00,0,1
2024-02-01T06:06:26.689571750+00:00,0,0
2024-02-01T06:06:26.882440910+00:00,1,0
2024-02-01T06:06:26.882490930+00:00,0,0
2024-02-01T06:06:26.888896660+00:00,0,1
2024-02-01T06:06:26.889430860+00:00,0,0
2024-02-01T06:06:27.082440120+00:00,1,0
2024-02-01T06:06:27.082490140+00:00,0,0
2024-02-01T06:06:27.090117180+00:00,0,1
2024-02-01T06:06:27.090649050+00:00,0,0
2024-02-01T06:06:27.282439340+00:00,1,0
2024-02-01T06:06:27.282489350+00:00,0,0
2024-02-01T06:06:27.288465840+00:00,0,1
2024-02-01T06:06:27.289023750+00:00,0,0
2024-02-01T06:06:27.482438550+00:00,1,0
2024-02-01T06:06:27.482488570+00:00,0,0
2024-02-01T06:06:27.488660830+00:00,0,1
2024-02-01T06:06:27.489272040+00:00,0,0
2024-02-01T06:06:27.682437770+00:00,1,0
2024-02-01T06:06:27.682487780+00:00,0,0
2024-02-01T06:06:27.688831680+00:00,0,1
2024-02-01T06:06:27.689373700+00:00,0,0
2024-02-01T06:06:27.882436980+00:00,1,0
