Time [s],Channel 0,Channel 1
2023-11-01T02:19:26.947155000+00:00,0,0
2023-11-01T02:19:26.961724460+00:00,1,0
2023-11-01T02:19:27.073699620+00:00,0,0
2023-11-01T02:19:27.082814000+00:00,0,1
2023-11-01T02:19:27.082814040+00:00,0,0
2023-11-01T02:19:27.323668640+00:00,1,0
2023-11-01T02:19:27.420732340+00:00,0,0
2023-11-01T02:19:27.426924980+00:00,0,1
2023-11-01T02:19:27.426925000+00:00,0,0
2023-11-01T02:19:27.670701360+00:00,1,0
2023-11-01T02:19:27.767555280+00:00,0,0
2023-11-01T02:19:27.776670580+00:00,0,1
2023-11-01T02:19:27.776670620+00:00,0,0
2023-11-01T02:19:28.017524300+00:00,1,0
2023-11-01T02:19:28.114634500+00:00,0,0
2023-11-01T02:19:28.120814060+00:00,0,1
2023-11-01T02:19:28.120814080+00:00,0,0
2023-11-01T02:19:28.364603520+00:00,1,0
2023-11-01T02:19:28.461485520+00:00,0,0
2023-11-01T02:19:28.473791300+00:00,0,1
2023-11-01T02:19:28.473791320+00:00,0,0
2023-11-01T02:19:28.711454540+00:00,1,0
2023-11-01T02:19:28.808496680+00:00,0,0
2023-11-01T02:19:28.814696600+00:00,0,1
2023-11-01T02:19:28.814696640+00:00,0,0
2023-11-01T02:19:29.058465700+00:00,1,0
2023-11-01T02:19:29.155334240+00:00,0,0
2023-11-01T02:19:29.164462840+00:00,0,1
2023-11-01T02:19:29.164462880+00:00,0,0
2023-11-01T02:19:29.405303240+00:00,1,0
2023-11-01T02:19:29.502423860+00:00,0,0
2023-11-01T02:19:29.508611800+00:00,0,1
2023-11-01T02:19:29.508611840+00:00,0,0
2023-11-01T02:19:29.752392880+00:00,1,0
2023-11-01T02:19:29.849179320+00:00,0,0
2023-11-01T02:19:29.858309540+00:00,0,1
2023-11-01T02:19:29.858309560+00:00,0,0
2023-11-01T02:19:30.099148340+00:00,1,0
2023-11-01T02:19:30.196248220+00:00,0,0
2023-11-01T02:19:30.202437860+00:00,0,1
2023-11-01T02:19:30.202437900+00:00,0,0
2023-11-01T02:19:30.446217240+00:00,1,0
2023-11-01T02:19:30.542979580+00:00,0,0
2023-11-01T02:19:30.555275120+00:00,0,1
2023-11-01T02:19:30.555275140+00:00,0,0
2023-11-01T02:19:30.792948600+00:00,1,0
2023-11-01T02:19:30.889955320+00:00,0,0
2023-11-01T02:19:30.896142440+00:00,0,1
2023-11-01T02:19:30.896142460+00:00,0,0
2023-11-01T02:19:31.139924320+00:00,1,0
2023-11-01T02:19:31.236722640+00:00,0,0
2023-11-01T02:19:31.245856560+00:00,0,1
2023-11-01T02:19:31.245856580+00:00,0,0
2023-11-01T02:19:31.486691660+00:00,1,0
2023-11-01T02:19:31.583785500+00:00,0,0
2023-11-01T02:19:31.589954560+00:00,0,1
2023-11-01T02:19:31.589954580+00:00,0,0
2023-11-01T02:19:31.833754520+00:00,1,0
2023-11-01T02:19:31.930653900+00:00,0,0
2023-11-01T02:19:31.942965400+00:00,0,1
2023-11-01T02:19:31.942965440+00:00,0,0
2023-11-01T02:19:32.180622920+00:00,1,0
2023-11-01T02:19:32.277650660+00:00,0,0
2023-11-01T02:19:32.283834940+00:00,0,1
2023-11-01T02:19:32.283834960+00:00,0,0
2023-11-01T02:19:32.527619680+00:00,1,0
2023-11-01T02:19:32.624451020+00:00,0,0
2023-11-01T02:19:32.636789400+00:00,0,1
2023-11-01T02:19:32.636789440+00:00,0,0
2023-11-01T02:19:32.874420040+00:00,1,0
2023-11-01T02:19:32.971537800+00:00,0,0
2023-11-01T02:19:32.977717500+00:00,0,1
2023-11-01T02:19:32.977717520+00:00,0,0
2023-11-01T02:19:33.221506820+00:00,1,0
2023-11-01T02:19:33.318323060+00:00,0,0
2023-11-01T02:19:33.327469600+00:00,0,1
2023-11-01T02:19:33.327469620+00:00,0,0
2023-11-01T02:19:33.568292080+00:00,1,0
2023-11-01T02:19:33.665361940+00:00,0,0
2023-11-01T02:19:33.671552320+00:00,0,1
2023-11-01T02:19:33.671552340+00:00,0,0
2023-11-01T02:19:33.915330940+00:00,1,0
2023-11-01T02:19:34.012158140+00:00,0,0
2023-11-01T02:19:34.024498160+00:00,0,1
2023-11-01T02:19:34.024498200+00:00,0,0
2023-11-01T02:19:34.262127140+00:00,1,0
2023-11-01T02:19:34.359197060+00:00,0,0
2023-11-01T02:19:34.365391500+00:00,0,1
2023-11-01T02:19:34.365391520+00:00,0,0
2023-11-01T02:19:34.609166080+00:00,1,0
2023-11-01T02:19:34.706028940+00:00,0,0
2023-11-01T02:19:34.718367580+00:00,0,1
2023-11-01T02:19:34.718367620+00:00,0,0
2023-11-01T02:19:34.955997960+00:00,1,0
2023-11-01T02:19:35.053070220+00:00,0,0
2023-11-01T02:19:35.059243660+00:00,0,1
2023-11-01T02:19:35.059243680+00:00,0,0
2023-11-01T02:19:35.303039220+00:00,1,0
2023-11-01T02:19:35.399900780+00:00,0,0
2023-11-01T02:19:35.409048920+00:00,0,1
2023-11-01T02:19:35.409048940+00:00,0,0
2023-11-01T02:19:35.649869800+00:00,1,0
2023-11-01T02:19:35.746947520+00:00,0,0
2023-11-01T02:19:35.753129500+00:00,0,1
2023-11-01T02:19:35.753129520+00:00,0,0
2023-11-01T02:19:35.996916520+00:00,1,0
2023-11-01T02:19:36.093717600+00:00,0,0
2023-11-01T02:19:36.106023220+00:00,0,1
2023-11-01T02:19:36.106023240+00:00,0,0
2023-11-01T02:19:36.343686620+00:00,1,0
2023-11-01T02:19:36.440682560+00:00,0,0
