Time [s],Channel 0,Channel 1
2023-11-08T05:45:37.186740000+00:00,0,0
2023-11-08T05:45:37.503212060+00:00,1,0
2023-11-08T05:45:37.503262060+00:00,0,0
2023-11-08T05:45:37.818786660+00:00,0,1
2023-11-08T05:45:37.818786720+00:00,0,0
2023-11-08T05:45:38.003210460+00:00,1,0
2023-11-08T05:45:38.003260460+00:00,0,0
2023-11-08T05:45:38.279763540+00:00,0,1
2023-11-08T05:45:38.279763600+00:00,0,0
2023-11-08T05:45:38.503208860+00:00,1,0
2023-11-08T05:45:38.503258860+00:00,0,0
2023-11-08T05:45:38.788347860+00:00,0,1
2023-11-08T05:45:38.788347920+00:00,0,0
2023-11-08T05:45:39.003207260+00:00,1,0
2023-11-08T05:45:39.003257260+00:00,0,0
2023-11-08T05:45:39.320824320+00:00,0,1
2023-11-08T05:45:39.320824380+00:00,0,0
2023-11-08T05:45:39.503205640+00:00,1,0
2023-11-08T05:45:39.503255660+00:00,0,0
2023-11-08T05:45:39.783487980+00:00,0,1
2023-11-08T05:45:39.783488040+00:00,0,0
2023-11-08T05:45:40.003204040+00:00,1,0
2023-11-08T05:45:40.003254060+00:00,0,0
2023-11-08T05:45:40.289243020+00:00,0,1
2023-11-08T05:45:40.289243100+00:00,0,0
2023-11-08T05:45:40.503202440+00:00,1,0
2023-11-08T05:45:40.503252460+00:00,0,0
2023-11-08T05:45:40.822328180+00:00,0,1
2023-11-08T05:45:40.822328240+00:00,0,0
2023-11-08T05:45:41.003200840+00:00,1,0
2023-11-08T05:45:41.003250840+00:00,0,0
2023-11-08T05:45:41.282968660+00:00,0,1
2023-11-08T05:45:41.282968720+00:00,0,0
2023-11-08T05:45:41.503199240+00:00,1,0
2023-11-08T05:45:41.503249240+00:00,0,0
2023-11-08T05:45:41.788973360+00:00,0,1
2023-11-08T05:45:41.788973420+00:00,0,0
2023-11-08T05:45:42.003197640+00:00,1,0
2023-11-08T05:45:42.003247640+00:00,0,0
2023-11-08T05:45:42.323406840+00:00,0,1
2023-11-08T05:45:42.323406900+00:00,0,0
2023-11-08T05:45:42.503196020+00:00,1,0
2023-11-08T05:45:42.503246040+00:00,0,0
2023-11-08T05:45:42.786151880+00:00,0,1
2023-11-08T05:45:42.786151940+00:00,0,0
2023-11-08T05:45:43.003194420+00:00,1,0
2023-11-08T05:45:43.003244440+00:00,0,0
2023-11-08T05:45:43.246319460+00:00,0,1
2023-11-08T05:45:43.246319520+00:00,0,0
2023-11-08T05:45:43.503192820+00:00,1,0
2023-11-08T05:45:43.503242820+00:00,0,0
2023-11-08T05:45:43.824470340+00:00,0,1
2023-11-08T05:45:43.824470420+00:00,0,0
2023-11-08T05:45:44.003191220+00:00,1,0
2023-11-08T05:45:44.003241220+00:00,0,0
2023-11-08T05:45:44.285188940+00:00,0,1
2023-11-08T05:45:44.285189000+00:00,0,0
2023-11-08T05:45:44.503189600+00:00,1,0
2023-11-08T05:45:44.503239620+00:00,0,0
2023-11-08T05:45:44.741290540+00:00,0,1
2023-11-08T05:45:44.741290600+00:00,0,0
2023-11-08T05:45:45.003188000+00:00,1,0
2023-11-08T05:45:45.003238000+00:00,0,0
2023-11-08T05:45:45.325693360+00:00,0,1
2023-11-08T05:45:45.325693420+00:00,0,0
2023-11-08T05:45:45.503186380+00:00,1,0
2023-11-08T05:45:45.503236400+00:00,0,0
2023-11-08T05:45:45.786111440+00:00,0,1
2023-11-08T05:45:45.786111500+00:00,0,0
2023-11-08T05:45:46.003184780+00:00,1,0
2023-11-08T05:45:46.003234780+00:00,0,0
2023-11-08T05:45:46.245468540+00:00,0,1
2023-11-08T05:45:46.245468600+00:00,0,0
2023-11-08T05:45:46.503183160+00:00,1,0
2023-11-08T05:45:46.503233180+00:00,0,0
2023-11-08T05:45:46.826972680+00:00,0,1
2023-11-08T05:45:46.826972760+00:00,0,0
2023-11-08T05:45:47.003181560+00:00,1,0
2023-11-08T05:45:47.003231560+00:00,0,0
2023-11-08T05:45:47.287422160+00:00,0,1
2023-11-08T05:45:47.287422220+00:00,0,0
2023-11-08T05:45:47.503179940+00:00,1,0
2023-11-08T05:45:47.503229960+00:00,0,0
2023-11-08T05:45:47.745316940+00:00,0,1
2023-11-08T05:45:47.745317000+00:00,0,0
2023-11-08T05:45:48.003178340+00:00,1,0
2023-11-08T05:45:48.003228340+00:00,0,0
2023-11-08T05:45:48.326322000+00:00,0,1
2023-11-08T05:45:48.326322060+00:00,0,0
2023-11-08T05:45:48.503176720+00:00,1,0
2023-11-08T05:45:48.503226720+00:00,0,0
2023-11-08T05:45:48.788840260+00:00,0,1
2023-11-08T05:45:48.788840340+00:00,0,0
2023-11-08T05:45:49.003175100+00:00,1,0
