Time [s],Channel 0,Channel 1
2023-11-08T05:23:25.665422000+00:00,0,0
2023-11-08T05:23:25.677963220+00:00,1,0
2023-11-08T05:23:25.678013220+00:00,0,0
2023-11-08T05:23:25.789088460+00:00,0,1
2023-11-08T05:23:25.789088540+00:00,0,0
2023-11-08T05:23:25.927962420+00:00,1,0
2023-11-08T05:23:25.928012440+00:00,0,0
2023-11-08T05:23:26.023628780+00:00,0,1
2023-11-08T05:23:26.023628840+00:00,0,0
2023-11-08T05:23:26.177961620+00:00,1,0
2023-11-08T05:23:26.178011640+00:00,0,0
2023-11-08T05:23:26.251712060+00:00,0,1
2023-11-08T05:23:26.251712120+00:00,0,0
2023-11-08T05:23:26.427960840+00:00,1,0
2023-11-08T05:23:26.428010840+00:00,0,0
2023-11-08T05:23:26.480387800+00:00,0,1
2023-11-08T05:23:26.480387860+00:00,0,0
2023-11-08T05:23:26.677960040+00:00,1,0
2023-11-08T05:23:26.678010040+00:00,0,0
2023-11-08T05:23:26.827178180+00:00,0,1
2023-11-08T05:23:26.827178240+00:00,0,0
2023-11-08T05:23:26.927959240+00:00,1,0
2023-11-08T05:23:26.928009260+00:00,0,0
2023-11-08T05:23:27.058455360+00:00,0,1
2023-11-08T05:23:27.058455440+00:00,0,0
2023-11-08T05:23:27.177958440+00:00,1,0
2023-11-08T05:23:27.178008460+00:00,0,0
2023-11-08T05:23:27.289747540+00:00,0,1
2023-11-08T05:23:27.289747600+00:00,0,0
2023-11-08T05:23:27.427957660+00:00,1,0
2023-11-08T05:23:27.428007660+00:00,0,0
2023-11-08T05:23:27.521002940+00:00,0,1
2023-11-08T05:23:27.521003020+00:00,0,0
2023-11-08T05:23:27.677956860+00:00,1,0
2023-11-08T05:23:27.678006860+00:00,0,0
2023-11-08T05:23:27.752230100+00:00,0,1
2023-11-08T05:23:27.752230160+00:00,0,0
2023-11-08T05:23:27.927956060+00:00,1,0
2023-11-08T05:23:27.928006060+00:00,0,0
2023-11-08T05:23:27.975493600+00:00,0,1
2023-11-08T05:23:27.975493660+00:00,0,0
2023-11-08T05:23:28.177955260+00:00,1,0
2023-11-08T05:23:28.178005280+00:00,0,0
2023-11-08T05:23:28.333338480+00:00,0,1
2023-11-08T05:23:28.333338560+00:00,0,0
2023-11-08T05:23:28.427954460+00:00,1,0
2023-11-08T05:23:28.428004480+00:00,0,0
2023-11-08T05:23:28.567878640+00:00,0,1
2023-11-08T05:23:28.567878720+00:00,0,0
2023-11-08T05:23:28.677953680+00:00,1,0
2023-11-08T05:23:28.678003680+00:00,0,0
2023-11-08T05:23:28.795948980+00:00,0,1
2023-11-08T05:23:28.795949040+00:00,0,0
2023-11-08T05:23:28.927952880+00:00,1,0
2023-11-08T05:23:28.928002880+00:00,0,0
2023-11-08T05:23:29.030483760+00:00,0,1
2023-11-08T05:23:29.030483820+00:00,0,0
2023-11-08T05:23:29.177952080+00:00,1,0
2023-11-08T05:23:29.178002080+00:00,0,0
2023-11-08T05:23:29.258535700+00:00,0,1
2023-11-08T05:23:29.258535780+00:00,0,0
2023-11-08T05:23:29.427951280+00:00,1,0
2023-11-08T05:23:29.428001300+00:00,0,0
2023-11-08T05:23:29.585435880+00:00,0,1
2023-11-08T05:23:29.585435960+00:00,0,0
2023-11-08T05:23:29.677950480+00:00,1,0
2023-11-08T05:23:29.678000500+00:00,0,0
2023-11-08T05:23:29.724123020+00:00,0,1
2023-11-08T05:23:29.724123080+00:00,0,0
2023-11-08T05:23:29.927949680+00:00,1,0
2023-11-08T05:23:29.927999700+00:00,0,0
2023-11-08T05:23:30.065358080+00:00,0,1
2023-11-08T05:23:30.065358160+00:00,0,0
2023-11-08T05:23:30.177948880+00:00,1,0
2023-11-08T05:23:30.177998900+00:00,0,0
2023-11-08T05:23:30.296655820+00:00,0,1
2023-11-08T05:23:30.296655900+00:00,0,0
2023-11-08T05:23:30.427948100+00:00,1,0
2023-11-08T05:23:30.427998100+00:00,0,0
2023-11-08T05:23:30.527929560+00:00,0,1
2023-11-08T05:23:30.527929620+00:00,0,0
2023-11-08T05:23:30.677947300+00:00,1,0
2023-11-08T05:23:30.677997300+00:00,0,0
2023-11-08T05:23:30.759241400+00:00,0,1
2023-11-08T05:23:30.759241460+00:00,0,0
2023-11-08T05:23:30.927946500+00:00,1,0
2023-11-08T05:23:30.927996500+00:00,0,0
2023-11-08T05:23:30.991557720+00:00,0,1
2023-11-08T05:23:30.991557800+00:00,0,0
2023-11-08T05:23:31.177945700+00:00,1,0
2023-11-08T05:23:31.177995700+00:00,0,0
2023-11-08T05:23:31.218047500+00:00,0,1
2023-11-08T05:23:31.218047560+00:00,0,0
2023-11-08T05:23:31.427944900+00:00,1,0
2023-11-08T05:23:31.427994920+00:00,0,0
2023-11-08T05:23:31.574702220+00:00,0,1
2023-11-08T05:23:31.574702280+00:00,0,0
2023-11-08T05:23:31.677944100+00:00,1,0
2023-11-08T05:23:31.677994120+00:00,0,0
2023-11-08T05:23:31.802784500+00:00,0,1
2023-11-08T05:23:31.802784580+00:00,0,0
2023-11-08T05:23:31.927943300+00:00,1,0
