Time [s],Channel 0,Channel 1
2023-10-31T05:37:10.138081860+00:00,0,0
2023-10-31T05:37:10.233757760+00:00,1,0
2023-10-31T05:37:10.233807760+00:00,0,0
2023-10-31T05:37:10.288922300+00:00,0,1
2023-10-31T05:37:10.288922320+00:00,0,0
2023-10-31T05:37:10.483757060+00:00,1,0
2023-10-31T05:37:10.483807080+00:00,0,0
2023-10-31T05:37:10.520228660+00:00,0,1
2023-10-31T05:37:10.520228700+00:00,0,0
2023-10-31T05:37:10.733756380+00:00,1,0
2023-10-31T05:37:10.733806380+00:00,0,0
2023-10-31T05:37:10.751465560+00:00,0,1
2023-10-31T05:37:10.751465580+00:00,0,0
2023-10-31T05:37:10.983755700+00:00,1,0
2023-10-31T05:37:10.983805700+00:00,0,0
2023-10-31T05:37:11.101244500+00:00,0,1
2023-10-31T05:37:11.101244540+00:00,0,0
2023-10-31T05:37:11.233755000+00:00,1,0
2023-10-31T05:37:11.233805020+00:00,0,0
2023-10-31T05:37:11.335761900+00:00,0,1
2023-10-31T05:37:11.335761940+00:00,0,0
2023-10-31T05:37:11.483754320+00:00,1,0
2023-10-31T05:37:11.483804320+00:00,0,0
2023-10-31T05:37:11.563807200+00:00,0,1
2023-10-31T05:37:11.563807240+00:00,0,0
2023-10-31T05:37:11.733753640+00:00,1,0
2023-10-31T05:37:11.733803640+00:00,0,0
2023-10-31T05:37:11.798335600+00:00,0,1
2023-10-31T05:37:11.798335620+00:00,0,0
2023-10-31T05:37:11.983752940+00:00,1,0
2023-10-31T05:37:11.983802960+00:00,0,0
2023-10-31T05:37:12.026397100+00:00,0,1
2023-10-31T05:37:12.026397140+00:00,0,0
2023-10-31T05:37:12.233752260+00:00,1,0
2023-10-31T05:37:12.233802280+00:00,0,0
2023-10-31T05:37:12.257669860+00:00,0,1
2023-10-31T05:37:12.257669900+00:00,0,0
2023-10-31T05:37:12.483751580+00:00,1,0
2023-10-31T05:37:12.483801580+00:00,0,0
2023-10-31T05:37:12.497058160+00:00,0,1
2023-10-31T05:37:12.497058200+00:00,0,0
2023-10-31T05:37:12.733750880+00:00,1,0
2023-10-31T05:37:12.733800900+00:00,0,0
2023-10-31T05:37:12.833132540+00:00,0,1
2023-10-31T05:37:12.833132580+00:00,0,0
2023-10-31T05:37:12.983750200+00:00,1,0
2023-10-31T05:37:12.983800220+00:00,0,0
2023-10-31T05:37:13.064437680+00:00,0,1
2023-10-31T05:37:13.064437720+00:00,0,0
2023-10-31T05:37:13.233749520+00:00,1,0
2023-10-31T05:37:13.233799520+00:00,0,0
2023-10-31T05:37:13.295759220+00:00,0,1
2023-10-31T05:37:13.295759240+00:00,0,0
2023-10-31T05:37:13.483748840+00:00,1,0
2023-10-31T05:37:13.483798840+00:00,0,0
2023-10-31T05:37:13.527075260+00:00,0,1
2023-10-31T05:37:13.527075300+00:00,0,0
2023-10-31T05:37:13.733748140+00:00,1,0
2023-10-31T05:37:13.733798160+00:00,0,0
2023-10-31T05:37:13.758414160+00:00,0,1
2023-10-31T05:37:13.758414200+00:00,0,0
2023-10-31T05:37:13.983747460+00:00,1,0
2023-10-31T05:37:13.983797460+00:00,0,0
