Time [s],Channel 0,Channel 1
2023-11-01T03:37:49.721030000+00:00,0,0
2023-11-01T03:37:49.781228300+00:00,1,0
2023-11-01T03:37:49.781278300+00:00,0,0
2023-11-01T03:37:49.792958640+00:00,0,1
2023-11-01T03:37:49.792958660+00:00,0,0
2023-11-01T03:37:49.896788520+00:00,1,0
2023-11-01T03:37:49.896838500+00:00,0,0
2023-11-01T03:37:49.905766220+00:00,0,1
2023-11-01T03:37:49.905766240+00:00,0,0
2023-11-01T03:37:50.012549200+00:00,1,0
2023-11-01T03:37:50.012599180+00:00,0,0
2023-11-01T03:37:50.027486820+00:00,0,1
2023-11-01T03:37:50.027486860+00:00,0,0
2023-11-01T03:37:50.128159520+00:00,1,0
2023-11-01T03:37:50.128209500+00:00,0,0
2023-11-01T03:37:50.137035620+00:00,0,1
2023-11-01T03:37:50.137035660+00:00,0,0
2023-11-01T03:37:50.243823800+00:00,1,0
2023-11-01T03:37:50.243873780+00:00,0,0
2023-11-01T03:37:50.255496360+00:00,0,1
2023-11-01T03:37:50.255496380+00:00,0,0
2023-11-01T03:37:50.359348860+00:00,1,0
2023-11-01T03:37:50.359398860+00:00,0,0
2023-11-01T03:37:50.368305020+00:00,0,1
2023-11-01T03:37:50.368305060+00:00,0,0
2023-11-01T03:37:50.475102240+00:00,1,0
2023-11-01T03:37:50.475152220+00:00,0,0
2023-11-01T03:37:50.486817860+00:00,0,1
2023-11-01T03:37:50.486817900+00:00,0,0
2023-11-01T03:37:50.590675020+00:00,1,0
2023-11-01T03:37:50.590725000+00:00,0,0
2023-11-01T03:37:50.599623280+00:00,0,1
2023-11-01T03:37:50.599623300+00:00,0,0
2023-11-01T03:37:50.706397020+00:00,1,0
2023-11-01T03:37:50.706447000+00:00,0,0
2023-11-01T03:37:50.721324360+00:00,0,1
2023-11-01T03:37:50.721324380+00:00,0,0
2023-11-01T03:37:50.821960440+00:00,1,0
2023-11-01T03:37:50.822010420+00:00,0,0
2023-11-01T03:37:50.830903560+00:00,0,1
2023-11-01T03:37:50.830903580+00:00,0,0
2023-11-01T03:37:50.937685120+00:00,1,0
2023-11-01T03:37:50.937735100+00:00,0,0
2023-11-01T03:37:50.949379420+00:00,0,1
2023-11-01T03:37:50.949379440+00:00,0,0
2023-11-01T03:37:51.053231520+00:00,1,0
2023-11-01T03:37:51.053281500+00:00,0,0
2023-11-01T03:37:51.062236880+00:00,0,1
2023-11-01T03:37:51.062236900+00:00,0,0
2023-11-01T03:37:51.169024980+00:00,1,0
2023-11-01T03:37:51.169074960+00:00,0,0
2023-11-01T03:37:51.183886980+00:00,0,1
2023-11-01T03:37:51.183887020+00:00,0,0
2023-11-01T03:37:51.284513060+00:00,1,0
2023-11-01T03:37:51.284563040+00:00,0,0
2023-11-01T03:37:51.293433700+00:00,0,1
2023-11-01T03:37:51.293433720+00:00,0,0
2023-11-01T03:37:51.400229360+00:00,1,0
2023-11-01T03:37:51.400279340+00:00,0,0
2023-11-01T03:37:51.411964920+00:00,0,1
2023-11-01T03:37:51.411964960+00:00,0,0
2023-11-01T03:37:51.515801640+00:00,1,0
2023-11-01T03:37:51.515851620+00:00,0,0
2023-11-01T03:37:51.524737760+00:00,0,1
2023-11-01T03:37:51.524737800+00:00,0,0
2023-11-01T03:37:51.631520020+00:00,1,0
2023-11-01T03:37:51.631570020+00:00,0,0
2023-11-01T03:37:51.646422600+00:00,0,1
2023-11-01T03:37:51.646422620+00:00,0,0
2023-11-01T03:37:51.747061940+00:00,1,0
2023-11-01T03:37:51.747111920+00:00,0,0
2023-11-01T03:37:51.756002900+00:00,0,1
2023-11-01T03:37:51.756002920+00:00,0,0
2023-11-01T03:37:51.862776240+00:00,1,0
2023-11-01T03:37:51.862826240+00:00,0,0
2023-11-01T03:37:51.874497120+00:00,0,1
2023-11-01T03:37:51.874497140+00:00,0,0
2023-11-01T03:37:51.978325340+00:00,1,0
2023-11-01T03:37:51.978375320+00:00,0,0
2023-11-01T03:37:51.987270100+00:00,0,1
2023-11-01T03:37:51.987270120+00:00,0,0
2023-11-01T03:37:52.094042840+00:00,1,0
2023-11-01T03:37:52.094092820+00:00,0,0
2023-11-01T03:37:52.108974340+00:00,0,1
2023-11-01T03:37:52.108974380+00:00,0,0
2023-11-01T03:37:52.209635820+00:00,1,0
2023-11-01T03:37:52.209685800+00:00,0,0
2023-11-01T03:37:52.218538420+00:00,0,1
2023-11-01T03:37:52.218538440+00:00,0,0
2023-11-01T03:37:52.325309140+00:00,1,0
2023-11-01T03:37:52.325359120+00:00,0,0
2023-11-01T03:37:52.337016400+00:00,0,1
2023-11-01T03:37:52.337016420+00:00,0,0
2023-11-01T03:37:52.440859720+00:00,1,0
2023-11-01T03:37:52.440909700+00:00,0,0
2023-11-01T03:37:52.449753600+00:00,0,1
2023-11-01T03:37:52.449753640+00:00,0,0
2023-11-01T03:37:52.556539140+00:00,1,0
2023-11-01T03:37:52.556589120+00:00,0,0
2023-11-01T03:37:52.568265180+00:00,0,1
2023-11-01T03:37:52.568265220+00:00,0,0
2023-11-01T03:37:52.672102760+00:00,1,0
2023-11-01T03:37:52.672152760+00:00,0,0
2023-11-01T03:37:52.681158520+00:00,0,1
2023-11-01T03:37:52.681158560+00:00,0,0
2023-11-01T03:37:52.787929920+00:00,1,0
2023-11-01T03:37:52.787979900+00:00,0,0
2023-11-01T03:37:52.802758760+00:00,0,1
2023-11-01T03:37:52.802758780+00:00,0,0
2023-11-01T03:37:52.903419600+00:00,1,0
2023-11-01T03:37:52.903469600+00:00,0,0
2023-11-01T03:37:52.912427940+00:00,0,1
2023-11-01T03:37:52.912427980+00:00,0,0
2023-11-01T03:37:53.019217760+00:00,1,0
2023-11-01T03:37:53.019267740+00:00,0,0
2023-11-01T03:37:53.030855040+00:00,0,1
2023-11-01T03:37:53.030855080+00:00,0,0
2023-11-01T03:37:53.134688640+00:00,1,0
2023-11-01T03:37:53.134738640+00:00,0,0
2023-11-01T03:37:53.143646380+00:00,0,1
2023-11-01T03:37:53.143646400+00:00,0,0
2023-11-01T03:37:53.250426440+00:00,1,0
2023-11-01T03:37:53.250476420+00:00,0,0
2023-11-01T03:37:53.265366980+00:00,0,1
2023-11-01T03:37:53.265367020+00:00,0,0
2023-11-01T03:37:53.366019680+00:00,1,0
2023-11-01T03:37:53.366069660+00:00,0,0
2023-11-01T03:37:53.374947300+00:00,0,1
2023-11-01T03:37:53.374947340+00:00,0,0
2023-11-01T03:37:53.481732720+00:00,1,0
2023-11-01T03:37:53.481782700+00:00,0,0
2023-11-01T03:37:53.493441520+00:00,0,1
2023-11-01T03:37:53.493441540+00:00,0,0
2023-11-01T03:37:53.597293820+00:00,1,0
2023-11-01T03:37:53.597343800+00:00,0,0
2023-11-01T03:37:53.606214460+00:00,0,1
2023-11-01T03:37:53.606214500+00:00,0,0
2023-11-01T03:37:53.712995400+00:00,1,0
2023-11-01T03:37:53.713045380+00:00,0,0
2023-11-01T03:37:53.727864540+00:00,0,1
2023-11-01T03:37:53.727864580+00:00,0,0
2023-11-01T03:37:53.828535700+00:00,1,0
2023-11-01T03:37:53.828585680+00:00,0,0
2023-11-01T03:37:53.837463220+00:00,0,1
2023-11-01T03:37:53.837463260+00:00,0,0
2023-11-01T03:37:53.944240820+00:00,1,0
2023-11-01T03:37:53.944290800+00:00,0,0
2023-11-01T03:37:53.955905460+00:00,0,1
2023-11-01T03:37:53.955905480+00:00,0,0
2023-11-01T03:37:54.059737860+00:00,1,0
2023-11-01T03:37:54.059787840+00:00,0,0
2023-11-01T03:37:54.068710960+00:00,0,1
2023-11-01T03:37:54.068710980+00:00,0,0
2023-11-01T03:37:54.175496840+00:00,1,0
2023-11-01T03:37:54.175546820+00:00,0,0
2023-11-01T03:37:54.190430420+00:00,0,1
2023-11-01T03:37:54.190430440+00:00,0,0
2023-11-01T03:37:54.291081780+00:00,1,0
2023-11-01T03:37:54.291131760+00:00,0,0
2023-11-01T03:37:54.300011860+00:00,0,1
2023-11-01T03:37:54.300011880+00:00,0,0
2023-11-01T03:37:54.406784580+00:00,1,0
2023-11-01T03:37:54.406834560+00:00,0,0
2023-11-01T03:37:54.418523440+00:00,0,1
2023-11-01T03:37:54.418523480+00:00,0,0
2023-11-01T03:37:54.522350100+00:00,1,0
2023-11-01T03:37:54.522400100+00:00,0,0
2023-11-01T03:37:54.531311640+00:00,0,1
2023-11-01T03:37:54.531311660+00:00,0,0
2023-11-01T03:37:54.638099500+00:00,1,0
2023-11-01T03:37:54.638149480+00:00,0,0
2023-11-01T03:37:54.653048480+00:00,0,1
2023-11-01T03:37:54.653048500+00:00,0,0
2023-11-01T03:37:54.753682760+00:00,1,0
2023-11-01T03:37:54.753732740+00:00,0,0
2023-11-01T03:37:54.762611400+00:00,0,1
2023-11-01T03:37:54.762611420+00:00,0,0
2023-11-01T03:37:54.869388520+00:00,1,0
2023-11-01T03:37:54.869438520+00:00,0,0
2023-11-01T03:37:54.881125160+00:00,0,1
2023-11-01T03:37:54.881125180+00:00,0,0
2023-11-01T03:37:54.984955900+00:00,1,0
2023-11-01T03:37:54.985005880+00:00,0,0
2023-11-01T03:37:54.993931720+00:00,0,1
2023-11-01T03:37:54.993931760+00:00,0,0
2023-11-01T03:37:55.100719500+00:00,1,0
2023-11-01T03:37:55.100769480+00:00,0,0
2023-11-01T03:37:55.112409820+00:00,0,1
2023-11-01T03:37:55.112409840+00:00,0,0
2023-11-01T03:37:55.216262500+00:00,1,0
